Key,Source,Context,Changes,English,schinese
buffAECHeatL3T11,buffs,Buff,,[FF9900]Hazard 3★[-],[FF9900]危险度 3★[-]
buffAECHeatL3T12,buffs,Buff,,[FF9900]Hazard 3★[-],[FF9900]危险度 3★[-]
buffAECHeatL3T13,buffs,Buff,,[FF9900]Hazard 3★[-],[FF9900]危险度 3★[-]
buffAECHeatL3T14,buffs,Buff,,[FF9900]Hazard 3★[-],[FF9900]危险度 3★[-]
buffAECHeatL3T15,buffs,Buff,,[FF9900]Hazard 3★[-],[FF9900]危险度 3★[-]
buffAECHeatL4T5,buffs,Buff,,[FF5000]Hazard 4★[-],[FF5000]危险度 4★[-]
buffAECHeatL4T6,buffs,Buff,,[FF5000]Hazard 4★[-],[FF5000]危险度 4★[-]
buffAECHeatL4T7,buffs,Buff,,[FF5000]Hazard 4★[-],[FF5000]危险度 4★[-]
buffAECHeatL4T8,buffs,Buff,,[FF5000]Hazard 4★[-],[FF5000]危险度 4★[-]
buffAECHeatL4T9,buffs,Buff,,[FF5000]Hazard 4★[-],[FF5000]危险度 4★[-]
buffAECHeatL4T10,buffs,Buff,,[FF5000]Hazard 4★[-],[FF5000]危险度 4★[-]
buffAECHeatL4T11,buffs,Buff,,[FF5000]Hazard 4★[-],[FF5000]危险度 4★[-]
buffAECHeatL4T12,buffs,Buff,,[FF5000]Hazard 4★[-],[FF5000]危险度 4★[-]
buffAECHeatL4T13,buffs,Buff,,[FF5000]Hazard 4★[-],[FF5000]危险度 4★[-]
buffAECHeatL4T14,buffs,Buff,,[FF5000]Hazard 4★[-],[FF5000]危险度 4★[-]
buffAECHeatL4T15,buffs,Buff,,[FF5000]Hazard 4★[-],[FF5000]危险度 4★[-]
buffAECHeatL5T5,buffs,Buff,,[FF0000]Hazard 5★[-],[FF0000]危险度 5★[-]
buffAECHeatL5T6,buffs,Buff,,[FF0000]Hazard 5★[-],[FF0000]危险度 5★[-]
buffAECHeatL5T7,buffs,Buff,,[FF0000]Hazard 5★[-],[FF0000]危险度 5★[-]
buffAECHeatL5T8,buffs,Buff,,[FF0000]Hazard 5★[-],[FF0000]危险度 5★[-]
buffAECHeatL5T9,buffs,Buff,,[FF0000]Hazard 5★[-],[FF0000]危险度 5★[-]
buffAECHeatL5T10,buffs,Buff,,[FF0000]Hazard 5★[-],[FF0000]危险度 5★[-]
buffAECHeatL5T11,buffs,Buff,,[FF0000]Hazard 5★[-],[FF0000]危险度 5★[-]
buffAECHeatL5T12,buffs,Buff,,[FF0000]Hazard 5★[-],[FF0000]危险度 5★[-]
buffAECHeatL5T13,buffs,Buff,,[FF0000]Hazard 5★[-],[FF0000]危险度 5★[-]
buffAECHeatL5T14,buffs,Buff,,[FF0000]Hazard 5★[-],[FF0000]危险度 5★[-]
buffAECHeatL5T15,buffs,Buff,,[FF0000]Hazard 5★[-],[FF0000]危险度 5★[-]
buffAECHeatDescL1,buffs,Buff,,"Low zombie escalation nearby. Activity is building up. [0000FF]To decrease the hazard lvl, stop killing zombies in this biome.[-]",附近出现低度升级，活动正在增强。[0000FF]停止在此生物群系击杀僵尸可降低危险等级。[-]
buffAECHeatDescL2,buffs,Buff,,"Moderate zombie escalation. Patrols converging on your position. [0000FF]To decrease the hazard lvl, stop killing zombies in this biome.[-]",僵尸活动中度升级，巡逻队正在向你的位置集结。[0000FF]停止在此生物群系击杀僵尸可降低危险等级。[-]
buffAECHeatDescL3,buffs,Buff,,"High zombie escalation. Multiple packs inbound - stay vigilant. [0000FF]To decrease the hazard lvl, stop killing zombies in this biome.[-]",僵尸活动高度升级，多支怪群正在接近，保持警惕。[0000FF]停止在此生物群系击杀僵尸可降低危险等级。[-]
buffAECHeatDescL4,buffs,Buff,,"Severe escalation. Mass convergence imminent. Prepare defenses. [0000FF]To decrease the hazard lvl, stop killing zombies in this biome.[-]",严重升级，大规模集结即将发生，准备防御。[0000FF]停止在此生物群系击杀僵尸可降低危险等级。[-]
buffAECHeatDescL5,buffs,Buff,,"CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately. [0000FF]To decrease the hazard lvl, stop killing zombies in this biome.[-]",危险等级已达临界值，尸群密度达到上限。立即撤离或加固防线。[0000FF]停止在此生物群系击杀僵尸可降低危险等级。[-]
buffAECHeatL1T5Desc,buffs,Buff,,Low zombie escalation nearby. Activity is building up.,附近的僵尸威胁正在小幅上升，活动逐渐频繁。
buffAECHeatL1T6Desc,buffs,Buff,,Low zombie escalation nearby. Activity is building up.,附近的僵尸威胁正在小幅上升，活动逐渐频繁。
buffAECHeatL1T7Desc,buffs,Buff,,Low zombie escalation nearby. Activity is building up.,附近的僵尸威胁正在小幅上升，活动逐渐频繁。
buffAECHeatL1T8Desc,buffs,Buff,,Low zombie escalation nearby. Activity is building up.,附近的僵尸威胁正在小幅上升，活动逐渐频繁。
buffAECHeatL1T9Desc,buffs,Buff,,Low zombie escalation nearby. Activity is building up.,附近的僵尸威胁正在小幅上升，活动逐渐频繁。
buffAECHeatL1T10Desc,buffs,Buff,,Low zombie escalation nearby. Activity is building up.,附近的僵尸威胁正在小幅上升，活动逐渐频繁。
buffAECHeatL1T11Desc,buffs,Buff,,Low zombie escalation nearby. Activity is building up.,附近的僵尸威胁正在小幅上升，活动逐渐频繁。
buffAECHeatL1T12Desc,buffs,Buff,,Low zombie escalation nearby. Activity is building up.,附近的僵尸威胁正在小幅上升，活动逐渐频繁。
buffAECHeatL1T13Desc,buffs,Buff,,Low zombie escalation nearby. Activity is building up.,附近的僵尸威胁正在小幅上升，活动逐渐频繁。
buffAECHeatL1T14Desc,buffs,Buff,,Low zombie escalation nearby. Activity is building up.,附近的僵尸威胁正在小幅上升，活动逐渐频繁。
buffAECHeatL1T15Desc,buffs,Buff,,Low zombie escalation nearby. Activity is building up.,附近的僵尸威胁正在小幅上升，活动逐渐频繁。
buffAECHeatL2T5Desc,buffs,Buff,,Moderate zombie escalation. Patrols converging on your position.,僵尸威胁中度上升，多支巡逻队正向你的位置集结。
buffAECHeatL2T6Desc,buffs,Buff,,Moderate zombie escalation. Patrols converging on your position.,僵尸威胁中度上升，多支巡逻队正向你的位置集结。
buffAECHeatL2T7Desc,buffs,Buff,,Moderate zombie escalation. Patrols converging on your position.,僵尸威胁中度上升，多支巡逻队正向你的位置集结。
buffAECHeatL2T8Desc,buffs,Buff,,Moderate zombie escalation. Patrols converging on your position.,僵尸威胁中度上升，多支巡逻队正向你的位置集结。
buffAECHeatL2T9Desc,buffs,Buff,,Moderate zombie escalation. Patrols converging on your position.,僵尸威胁中度上升，多支巡逻队正向你的位置集结。
buffAECHeatL2T10Desc,buffs,Buff,,Moderate zombie escalation. Patrols converging on your position.,僵尸威胁中度上升，多支巡逻队正向你的位置集结。
buffAECHeatL2T11Desc,buffs,Buff,,Moderate zombie escalation. Patrols converging on your position.,僵尸威胁中度上升，多支巡逻队正向你的位置集结。
buffAECHeatL2T12Desc,buffs,Buff,,Moderate zombie escalation. Patrols converging on your position.,僵尸威胁中度上升，多支巡逻队正向你的位置集结。
buffAECHeatL2T13Desc,buffs,Buff,,Moderate zombie escalation. Patrols converging on your position.,僵尸威胁中度上升，多支巡逻队正向你的位置集结。
buffAECHeatL2T14Desc,buffs,Buff,,Moderate zombie escalation. Patrols converging on your position.,僵尸威胁中度上升，多支巡逻队正向你的位置集结。
buffAECHeatL2T15Desc,buffs,Buff,,Moderate zombie escalation. Patrols converging on your position.,僵尸威胁中度上升，多支巡逻队正向你的位置集结。
buffAECHeatL3T5Desc,buffs,Buff,,High zombie escalation. Multiple packs inbound - stay vigilant.,僵尸威胁高度上升，多支尸群正在逼近，请保持警惕。
buffAECHeatL3T6Desc,buffs,Buff,,High zombie escalation. Multiple packs inbound - stay vigilant.,僵尸威胁高度上升，多支尸群正在逼近，请保持警惕。
buffAECHeatL3T7Desc,buffs,Buff,,High zombie escalation. Multiple packs inbound - stay vigilant.,僵尸威胁高度上升，多支尸群正在逼近，请保持警惕。
buffAECHeatL3T8Desc,buffs,Buff,,High zombie escalation. Multiple packs inbound - stay vigilant.,僵尸威胁高度上升，多支尸群正在逼近，请保持警惕。
buffAECHeatL3T9Desc,buffs,Buff,,High zombie escalation. Multiple packs inbound - stay vigilant.,僵尸威胁高度上升，多支尸群正在逼近，请保持警惕。
buffAECHeatL3T10Desc,buffs,Buff,,High zombie escalation. Multiple packs inbound - stay vigilant.,僵尸威胁高度上升，多支尸群正在逼近，请保持警惕。
buffAECHeatL3T11Desc,buffs,Buff,,High zombie escalation. Multiple packs inbound - stay vigilant.,僵尸威胁高度上升，多支尸群正在逼近，请保持警惕。
buffAECHeatL3T12Desc,buffs,Buff,,High zombie escalation. Multiple packs inbound - stay vigilant.,僵尸威胁高度上升，多支尸群正在逼近，请保持警惕。
buffAECHeatL3T13Desc,buffs,Buff,,High zombie escalation. Multiple packs inbound - stay vigilant.,僵尸威胁高度上升，多支尸群正在逼近，请保持警惕。
buffAECHeatL3T14Desc,buffs,Buff,,High zombie escalation. Multiple packs inbound - stay vigilant.,僵尸威胁高度上升，多支尸群正在逼近，请保持警惕。
buffAECHeatL3T15Desc,buffs,Buff,,High zombie escalation. Multiple packs inbound - stay vigilant.,僵尸威胁高度上升，多支尸群正在逼近，请保持警惕。
buffAECHeatL4T5Desc,buffs,Buff,,Severe escalation. Mass convergence imminent. Prepare defenses.,威胁急剧升级，大批敌人即将汇聚，请准备防御。
buffAECHeatL4T6Desc,buffs,Buff,,Severe escalation. Mass convergence imminent. Prepare defenses.,威胁急剧升级，大批敌人即将汇聚，请准备防御。
buffAECHeatL4T7Desc,buffs,Buff,,Severe escalation. Mass convergence imminent. Prepare defenses.,威胁急剧升级，大批敌人即将汇聚，请准备防御。
buffAECHeatL4T8Desc,buffs,Buff,,Severe escalation. Mass convergence imminent. Prepare defenses.,威胁急剧升级，大批敌人即将汇聚，请准备防御。
buffAECHeatL4T9Desc,buffs,Buff,,Severe escalation. Mass convergence imminent. Prepare defenses.,威胁急剧升级，大批敌人即将汇聚，请准备防御。
buffAECHeatL4T10Desc,buffs,Buff,,Severe escalation. Mass convergence imminent. Prepare defenses.,威胁急剧升级，大批敌人即将汇聚，请准备防御。
buffAECHeatL4T11Desc,buffs,Buff,,Severe escalation. Mass convergence imminent. Prepare defenses.,威胁急剧升级，大批敌人即将汇聚，请准备防御。
buffAECHeatL4T12Desc,buffs,Buff,,Severe escalation. Mass convergence imminent. Prepare defenses.,威胁急剧升级，大批敌人即将汇聚，请准备防御。
buffAECHeatL4T13Desc,buffs,Buff,,Severe escalation. Mass convergence imminent. Prepare defenses.,威胁急剧升级，大批敌人即将汇聚，请准备防御。
buffAECHeatL4T14Desc,buffs,Buff,,Severe escalation. Mass convergence imminent. Prepare defenses.,威胁急剧升级，大批敌人即将汇聚，请准备防御。
buffAECHeatL4T15Desc,buffs,Buff,,Severe escalation. Mass convergence imminent. Prepare defenses.,威胁急剧升级，大批敌人即将汇聚，请准备防御。
buffAECHeatL5T5Desc,buffs,Buff,,CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately.,致命危险：尸群密度已达最高。立即撤离或加固防线。
buffAECHeatL5T6Desc,buffs,Buff,,CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately.,致命危险：尸群密度已达最高。立即撤离或加固防线。
buffAECHeatL5T7Desc,buffs,Buff,,CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately.,致命危险：尸群密度已达最高。立即撤离或加固防线。
buffAECHeatL5T8Desc,buffs,Buff,,CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately.,致命危险：尸群密度已达最高。立即撤离或加固防线。
buffAECHeatL5T9Desc,buffs,Buff,,CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately.,致命危险：尸群密度已达最高。立即撤离或加固防线。
buffAECHeatL5T10Desc,buffs,Buff,,CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately.,致命危险：尸群密度已达最高。立即撤离或加固防线。
buffAECHeatL5T11Desc,buffs,Buff,,CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately.,致命危险：尸群密度已达最高。立即撤离或加固防线。
buffAECHeatL5T12Desc,buffs,Buff,,CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately.,致命危险：尸群密度已达最高。立即撤离或加固防线。
buffAECHeatL5T13Desc,buffs,Buff,,CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately.,致命危险：尸群密度已达最高。立即撤离或加固防线。
buffAECHeatL5T14Desc,buffs,Buff,,CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately.,致命危险：尸群密度已达最高。立即撤离或加固防线。
buffAECHeatL5T15Desc,buffs,Buff,,CRITICAL HAZARD. Maximum horde density. Evacuate or fortify immediately.,致命危险：尸群密度已达最高。立即撤离或加固防线。
aecQuestOrderT05,items,Item Name,,[AEC] Clear Order - Tier 05,[AEC] 清剿令——等级 05
aecQuestOrderT05Desc,items,Item Desc,,Use to start a Tier 05 AEC zombie clear mission. Return to any trader to claim rewards.,使用后开始等级 05 的 AEC 僵尸清剿任务。完成后返回任意商人处领取奖励。
aecQuestOrderT06,items,Item Name,,[AEC] Clear Order - Tier 06,[AEC] 清剿令——等级 06
aecQuestOrderT06Desc,items,Item Desc,,Use to start a Tier 06 AEC zombie clear mission. Return to any trader to claim rewards.,使用后开始等级 06 的 AEC 僵尸清剿任务。完成后返回任意商人处领取奖励。
aecQuestOrderT07,items,Item Name,,[AEC] Clear Order - Tier 07,[AEC] 清剿令——等级 07
aecQuestOrderT07Desc,items,Item Desc,,Use to start a Tier 07 AEC zombie clear mission. Return to any trader to claim rewards.,使用后开始等级 07 的 AEC 僵尸清剿任务。完成后返回任意商人处领取奖励。
aecQuestOrderT08,items,Item Name,,[AEC] Clear Order - Tier 08,[AEC] 清剿令——等级 08
aecQuestOrderT08Desc,items,Item Desc,,Use to start a Tier 08 AEC zombie clear mission. Return to any trader to claim rewards.,使用后开始等级 08 的 AEC 僵尸清剿任务。完成后返回任意商人处领取奖励。
aecQuestOrderT09,items,Item Name,,[AEC] Clear Order - Tier 09,[AEC] 清剿令——等级 09
aecQuestOrderT09Desc,items,Item Desc,,Use to start a Tier 09 AEC zombie clear mission. Return to any trader to claim rewards.,使用后开始等级 09 的 AEC 僵尸清剿任务。完成后返回任意商人处领取奖励。
aecQuestOrderT10,items,Item Name,,[AEC] Clear Order - Tier 10,[AEC] 清剿令——等级 10
aecQuestOrderT10Desc,items,Item Desc,,Use to start a Tier 10 AEC zombie clear mission. Return to any trader to claim rewards.,使用后开始等级 10 的 AEC 僵尸清剿任务。完成后返回任意商人处领取奖励。
aecQuestOrderT11,items,Item Name,,[AEC] Clear Order - Tier 11,[AEC] 清剿令——等级 11
aecQuestOrderT11Desc,items,Item Desc,,Use to start a Tier 11 AEC zombie clear mission. Return to any trader to claim rewards.,使用后开始等级 11 的 AEC 僵尸清剿任务。完成后返回任意商人处领取奖励。
aecQuestOrderT12,items,Item Name,,[AEC] Clear Order - Tier 12,[AEC] 清剿令——等级 12
aecQuestOrderT12Desc,items,Item Desc,,Use to start a Tier 12 AEC zombie clear mission. Return to any trader to claim rewards.,使用后开始等级 12 的 AEC 僵尸清剿任务。完成后返回任意商人处领取奖励。
aecQuestOrderT13,items,Item Name,,[AEC] Clear Order - Tier 13,[AEC] 清剿令——等级 13
aecQuestOrderT13Desc,items,Item Desc,,Use to start a Tier 13 AEC zombie clear mission. Return to any trader to claim rewards.,使用后开始等级 13 的 AEC 僵尸清剿任务。完成后返回任意商人处领取奖励。
aecQuestOrderT14,items,Item Name,,[AEC] Clear Order - Tier 14,[AEC] 清剿令——等级 14
aecQuestOrderT14Desc,items,Item Desc,,Use to start a Tier 14 AEC zombie clear mission. Return to any trader to claim rewards.,使用后开始等级 14 的 AEC 僵尸清剿任务。完成后返回任意商人处领取奖励。
aecQuestOrderT15,items,Item Name,,[AEC] Clear Order - Tier 15,[AEC] 清剿令——等级 15
aecQuestOrderT15Desc,items,Item Desc,,Use to start a Tier 15 AEC zombie clear mission. Return to any trader to claim rewards.,使用后开始等级 15 的 AEC 僵尸清剿任务。完成后返回任意商人处领取奖励。
aec_quest_T05_name,quests,Quest,,[AEC] Tier 05 Clear,[AEC] 等级 05 清剿
aec_quest_T05_offer,quests,Quest,,Purge the infestation. Our intelligence has identified a zone swarming with Tier 05 AEC hostiles. Clear the location and return for your reward.,清除感染源。情报显示该区域遍布等级 05 的 AEC 敌人。清理地点后回来领取奖励。
aec_quest_T06_name,quests,Quest,,[AEC] Tier 06 Clear,[AEC] 等级 06 清剿
aec_quest_T06_offer,quests,Quest,,Purge the infestation. Our intelligence has identified a zone swarming with Tier 06 AEC hostiles. Clear the location and return for your reward.,清除感染源。情报显示该区域遍布等级 06 的 AEC 敌人。清理地点后回来领取奖励。
aec_quest_T07_name,quests,Quest,,[AEC] Tier 07 Clear,[AEC] 等级 07 清剿
aec_quest_T07_offer,quests,Quest,,Purge the infestation. Our intelligence has identified a zone swarming with Tier 07 AEC hostiles. Clear the location and return for your reward.,清除感染源。情报显示该区域遍布等级 07 的 AEC 敌人。清理地点后回来领取奖励。
aec_quest_T08_name,quests,Quest,,[AEC] Tier 08 Clear,[AEC] 等级 08 清剿
aec_quest_T08_offer,quests,Quest,,Purge the infestation. Our intelligence has identified a zone swarming with Tier 08 AEC hostiles. Clear the location and return for your reward.,清除感染源。情报显示该区域遍布等级 08 的 AEC 敌人。清理地点后回来领取奖励。
aec_quest_T09_name,quests,Quest,,[AEC] Tier 09 Clear,[AEC] 等级 09 清剿
aec_quest_T09_offer,quests,Quest,,Purge the infestation. Our intelligence has identified a zone swarming with Tier 09 AEC hostiles. Clear the location and return for your reward.,清除感染源。情报显示该区域遍布等级 09 的 AEC 敌人。清理地点后回来领取奖励。
aec_quest_T10_name,quests,Quest,,[AEC] Tier 10 Clear,[AEC] 等级 10 清剿
aec_quest_T10_offer,quests,Quest,,Purge the infestation. Our intelligence has identified a zone swarming with Tier 10 AEC hostiles. Clear the location and return for your reward.,清除感染源。情报显示该区域遍布等级 10 的 AEC 敌人。清理地点后回来领取奖励。
aec_quest_T11_name,quests,Quest,,[AEC] Tier 11 Clear,[AEC] 等级 11 清剿
aec_quest_T11_offer,quests,Quest,,Purge the infestation. Our intelligence has identified a zone swarming with Tier 11 AEC hostiles. Clear the location and return for your reward.,清除感染源。情报显示该区域遍布等级 11 的 AEC 敌人。清理地点后回来领取奖励。
aec_quest_T12_name,quests,Quest,,[AEC] Tier 12 Clear,[AEC] 等级 12 清剿
aec_quest_T12_offer,quests,Quest,,Purge the infestation. Our intelligence has identified a zone swarming with Tier 12 AEC hostiles. Clear the location and return for your reward.,清除感染源。情报显示该区域遍布等级 12 的 AEC 敌人。清理地点后回来领取奖励。
aec_quest_T13_name,quests,Quest,,[AEC] Tier 13 Clear,[AEC] 等级 13 清剿
aec_quest_T13_offer,quests,Quest,,Purge the infestation. Our intelligence has identified a zone swarming with Tier 13 AEC hostiles. Clear the location and return for your reward.,清除感染源。情报显示该区域遍布等级 13 的 AEC 敌人。清理地点后回来领取奖励。
aec_quest_T14_name,quests,Quest,,[AEC] Tier 14 Clear,[AEC] 等级 14 清剿
aec_quest_T14_offer,quests,Quest,,Purge the infestation. Our intelligence has identified a zone swarming with Tier 14 AEC hostiles. Clear the location and return for your reward.,清除感染源。情报显示该区域遍布等级 14 的 AEC 敌人。清理地点后回来领取奖励。
aec_quest_T15_name,quests,Quest,,[AEC] Tier 15 Clear,[AEC] 等级 15 清剿
aec_quest_T15_offer,quests,Quest,,FINAL PURGE. Maximum AEC hostiles confirmed. Tier 15 threat. Clear the location and return for your reward.,最终清剿。已确认最高强度的AEC敌人，威胁等级T15。清除目标地点后返回领取奖励。
aec_quest_clear_desc,quests,Quest,,"An AEC Zombie Clear Order: all POI sleepers will be replaced by AEC-tier hostiles matching this order. Reach the POI, eliminate all zombies, and return to any trader for your reward.",AEC僵尸清剿令：兴趣点内的所有沉睡者都会替换为本命令指定等级的AEC敌人。前往兴趣点，消灭全部僵尸，然后返回任意商人处领取奖励。
aec_base_name,quests,Quest,,[AEC] Base Quest,[AEC] 基础任务
aec_base_offer,quests,Quest,,AEC mission pending.,有一项AEC任务等待处理。
aec_quest_T00_A1_name,quests,Quest,,[8800CC][[8F06CF]A[9C11D5]E[A217D7]C[A91CDA]][B022DD] [BD2DE3]T[C433E6]0[CA39E8]0[D744EE] [DE4AF1]B[E54FF4]a[EB55F7]s[F860FC]i[FF66FF]c[F860FC] [EB55F7]C[E54FF4]l[DE4AF1]e[D744EE]a[CA39E8]r[C433E6] [BD2DE3]|[B022DD] [A91CDA]S[A217D7]m[9C11D5]a[8F06CF]l[8800CC]l[-],[FFD700][AEC][-] [DECEA3]T00 基础清剿[-] | 小型
aec_quest_T00_A1_offer,quests,Quest,,[FF3333]AEC[-] [5599FF]AEC[-] [00FF66]AEC[-] [FF3333]AEC[-] [5599FF]AEC[-] [00FF66]AEC[-] [FF3333]AEC[-] [5599FF]AEC[-] [00FF66]AEC[-] [FF3333]AEC[-] [5599FF]AEC[-] [00FF66]AEC[-]\nPurge the infestation. A Small location has been flagged with Basic AEC hostiles. Clear it and return to any trader for your reward.\n[FF3333]AEC[-] [5599FF]AEC[-] [00FF66]AEC[-] [FF3333]AEC[-] [5599FF]AEC[-] [00FF66]AEC[-] [FF3333]AEC[-] [5599FF]AEC[-] [00FF66]AEC[-] [FF3333]AEC[-] [5599FF]AEC[-] [00FF66]AEC[-],[FFD700][AEC][-]\n清除感染区。一个小型兴趣点已被标记，其中有T00基础级AEC敌人。清除全部敌人后返回任意商人处领取奖励。
aec_quest_T00_A2_name,quests,Quest,,[8800CC][[8F06CF]A[950BD2]E[A217D7]C[A91CDA]][B022DD] [B628E0]T[C433E6]0[CA39E8]0[D13EEB] [D744EE]B[E54FF4]a[EB55F7]s[F25BF9]i[F860FC]c[F860FC] [F25BF9]C[EB55F7]l[E54FF4]e[D744EE]a[D13EEB]r[CA39E8] [C433E6]|[B628E0] [B022DD]M[A91CDA]e[A217D7]d[950BD2]i[8F06CF]u[8800CC]m[-],[FFD700][AEC][-] [DECEA3]T00 基础清剿[-] | 中型
aec_quest_T00_A2_offer,quests,Quest,,[FF3333]AEC[-] [5599FF]AEC[-] [00FF66]AEC[-] [FF3333]AEC[-] [5599FF]AEC[-] [00FF66]AEC[-] [FF3333]AEC[-] [5599FF]AEC[-] [00FF66]AEC[-] [FF3333]AEC[-] [5599FF]AEC[-] [00FF66]AEC[-]\nPurge the infestation. A Medium location has been flagged with Basic AEC hostiles. Clear it and return to any trader for your reward.\n[FF3333]AEC[-] [5599FF]AEC[-] [00FF66]AEC[-] [FF3333]AEC[-] [5599FF]AEC[-] [00FF66]AEC[-] [FF3333]AEC[-] [5599FF]AEC[-] [00FF66]AEC[-] [FF3333]AEC[-] [5599FF]AEC[-] [00FF66]AEC[-],[FFD700][AEC][-]\n清除感染区。一个中型兴趣点已被标记，其中有T00基础级AEC敌人。清除全部敌人后返回任意商人处领取奖励。
