Key,File,Type,UsedInMainMenu,NoTranslate,english,schinese
yfAutoForgeDesc,blocks,blocks,,false,沿用锻炉已解锁配方。原版炉内材料用同数量自动化冶炼料代替；需要坩埚的配方仍须输入箱有坩埚。关闭原版冶炼系统时使用原版实物材料。所有者须在线。 邻接通电的供电接口；输入紧贴机器，输出水平4米上下1米内；同一所有者、同一区块。输出首格样品保留，缺电/满箱暂停，进度随存档保存。,沿用锻炉已解锁配方。原版炉内材料用同数量自动化冶炼料代替；需要坩埚的配方仍须输入箱有坩埚。关闭原版冶炼系统时使用原版实物材料。所有者须在线。 邻接通电的供电接口；输入紧贴机器，输出水平4米上下1米内；同一所有者、同一区块。输出首格样品保留，缺电/满箱暂停，进度随存档保存。
yfAutoRecycler,blocks,blocks,,false,自动装备分解机,自动装备分解机
yfAutoRecyclerDesc,blocks,blocks,,false,输入箱放待分解装备，输出首格放原版分解所得材料样品。一次分解一件，沿用原版分解回报。跳过六品质及以上、带模组、装有弹药或锁定格装备。 邻接通电的供电接口；输入紧贴机器，输出水平4米上下1米内；同一所有者、同一区块。输出首格样品保留，缺电/满箱暂停，进度随存档保存。,输入箱放待分解装备，输出首格放原版分解所得材料样品。一次分解一件，沿用原版分解回报。跳过六品质及以上、带模组、装有弹药或锁定格装备。 邻接通电的供电接口；输入紧贴机器，输出水平4米上下1米内；同一所有者、同一区块。输出首格样品保留，缺电/满箱暂停，进度随存档保存。
yfAutoFarm,blocks,blocks,,false,自动农场控制器,自动农场控制器
yfAutoFarmDesc,blocks,blocks,,false,扫描周围7×7、上下1米的成熟玩家作物，仅处理自己领地石保护内且同区块的作物。每10秒收割补种一株，输入箱消耗1颗对应种子，产出原版基础收获，不叠加玩家收割加成。先手动播种。 邻接通电的供电接口；输入紧贴机器，输出水平4米上下1米内；同一所有者、同一区块。输出首格样品保留，缺电/满箱暂停，进度随存档保存。,扫描周围7×7、上下1米的成熟玩家作物，仅处理自己领地石保护内且同区块的作物。每10秒收割补种一株，输入箱消耗1颗对应种子，产出原版基础收获，不叠加玩家收割加成。先手动播种。 邻接通电的供电接口；输入紧贴机器，输出水平4米上下1米内；同一所有者、同一区块。输出首格样品保留，缺电/满箱暂停，进度随存档保存。
yfAutoMiner,blocks,blocks,,false,自动矿点采集机,自动矿点采集机
yfAutoMinerDesc,blocks,blocks,,false,检查下方1至8米、周围7×7内自己领地中的真实矿块。每60秒消耗1份钻头耗材产出20矿料。支持铁/铅/煤/硝石/油页岩。矿点持续产出，不破坏或耗尽矿块。 邻接通电的供电接口；输入紧贴机器，输出水平4米上下1米内；同一所有者、同一区块。输出首格样品保留，缺电/满箱暂停，进度随存档保存。,检查下方1至8米、周围7×7内自己领地中的真实矿块。每60秒消耗1份钻头耗材产出20矿料。支持铁/铅/煤/硝石/油页岩。矿点持续产出，不破坏或耗尽矿块。 邻接通电的供电接口；输入紧贴机器，输出水平4米上下1米内；同一所有者、同一区块。输出首格样品保留，缺电/满箱暂停，进度随存档保存。
yfAutoTransfer,blocks,blocks,,false,箱间输送器,箱间输送器
yfAutoTransferDesc,blocks,blocks,,false,邻接上游输出箱和下游输入箱，自动将产物送往下一道工序，每秒最多16件。保留上游首格样品；仅连接同一区块、同一所有者的箱子。转运机械臂外观，瞄准查看状态；货物直接搬运。 邻接通电的供电接口；输入紧贴机器，输出水平4米上下1米内；同一所有者、同一区块。输出首格样品保留，缺电/满箱暂停，进度随存档保存。,邻接上游输出箱和下游输入箱，自动将产物送往下一道工序，每秒最多16件。保留上游首格样品；仅连接同一区块、同一所有者的箱子。转运机械臂外观，瞄准查看状态；货物直接搬运。 邻接通电的供电接口；输入紧贴机器，输出水平4米上下1米内；同一所有者、同一区块。输出首格样品保留，缺电/满箱暂停，进度随存档保存。
yfAutoIngot_iron,items,items,,false,自动化冶炼料·铁,自动化冶炼料·铁
yfAutoIngot_ironDesc,items,items,,false,锻造流水线中间料，每件等同原版锻炉1单位。工作台配方只用于制作首格样品；批量生产请用自动冶炼机。,锻造流水线中间料，每件等同原版锻炉1单位。工作台配方只用于制作首格样品；批量生产请用自动冶炼机。
yfAutoIngot_brass,items,items,,false,自动化冶炼料·黄铜,自动化冶炼料·黄铜
yfAutoIngot_brassDesc,items,items,,false,锻造流水线中间料，每件等同原版锻炉1单位。工作台配方只用于制作首格样品；批量生产请用自动冶炼机。,锻造流水线中间料，每件等同原版锻炉1单位。工作台配方只用于制作首格样品；批量生产请用自动冶炼机。
yfAutoIngot_lead,items,items,,false,自动化冶炼料·铅,自动化冶炼料·铅
yfAutoIngot_leadDesc,items,items,,false,锻造流水线中间料，每件等同原版锻炉1单位。工作台配方只用于制作首格样品；批量生产请用自动冶炼机。,锻造流水线中间料，每件等同原版锻炉1单位。工作台配方只用于制作首格样品；批量生产请用自动冶炼机。
yfAutoIngot_glass,items,items,,false,自动化冶炼料·玻璃,自动化冶炼料·玻璃
yfAutoIngot_glassDesc,items,items,,false,锻造流水线中间料，每件等同原版锻炉1单位。工作台配方只用于制作首格样品；批量生产请用自动冶炼机。,锻造流水线中间料，每件等同原版锻炉1单位。工作台配方只用于制作首格样品；批量生产请用自动冶炼机。
yfAutoIngot_stone,items,items,,false,自动化冶炼料·石,自动化冶炼料·石
yfAutoIngot_stoneDesc,items,items,,false,锻造流水线中间料，每件等同原版锻炉1单位。工作台配方只用于制作首格样品；批量生产请用自动冶炼机。,锻造流水线中间料，每件等同原版锻炉1单位。工作台配方只用于制作首格样品；批量生产请用自动冶炼机。
yfAutoIngot_clay,items,items,,false,自动化冶炼料·黏土,自动化冶炼料·黏土
yfAutoIngot_clayDesc,items,items,,false,锻造流水线中间料，每件等同原版锻炉1单位。工作台配方只用于制作首格样品；批量生产请用自动冶炼机。,锻造流水线中间料，每件等同原版锻炉1单位。工作台配方只用于制作首格样品；批量生产请用自动冶炼机。
yfAutoDrillCharge,items,items,,false,钻头耗材,钻头耗材
yfAutoDrillChargeDesc,items,items,,false,自动矿点采集机每次60秒作业消耗1份，产出20个对应矿料。,自动矿点采集机每次60秒作业消耗1份，产出20个对应矿料。
yfAutoWaterPump,blocks,blocks,,false,自动化抽水泵,自动化抽水泵
yfAutoWaterPumpDesc,blocks,blocks,,false,紧贴水体和通电的供电接口，每5秒抽取1份灌溉水，送往水平4米上下1米内的同主储水箱。无需输入箱或样品，不消耗水体。不生产饮用水。 关联设备和箱子须同一所有者、同一个16×16地图区块。,紧贴水体和通电的供电接口，每5秒抽取1份灌溉水，送往水平4米上下1米内的同主储水箱。无需输入箱或样品，不消耗水体。不生产饮用水。 关联设备和箱子须同一所有者、同一个16×16地图区块。
yfAutoWaterTank,blocks,blocks,,false,自动化储水箱,自动化储水箱
yfAutoWaterTankDesc,blocks,blocks,,false,储水罐存放灌溉水，水泵自动填充上限200份。无需通电，库存被打开或锁定格时暂停取放。放在农场控制器水平4米上下1米内；每株收割补种消耗1份水，将作业时间由10秒缩短到5秒，缺水恢复原速度。不改变原版作物生长周期。 关联设备和箱子须同一所有者、同一个16×16地图区块。,储水罐存放灌溉水，水泵自动填充上限200份。无需通电，库存被打开或锁定格时暂停取放。放在农场控制器水平4米上下1米内；每株收割补种消耗1份水，将作业时间由10秒缩短到5秒，缺水恢复原速度。不改变原版作物生长周期。 关联设备和箱子须同一所有者、同一个16×16地图区块。
yfAutoAmmoFeed,blocks,blocks,,false,炮塔外接供弹器,炮塔外接供弹器
yfAutoAmmoFeedDesc,blocks,blocks,,false,紧贴原版炮塔、弹药输入箱和通电的供电接口。供弹器通电且有匹配弹药时自动启用炮塔；炮塔本身也须通电。优先使用炮塔内装弹药，耗尽后由服务器每次开火直接扣箱中1发。保持原版敌我设置。可用输出箱供弹且保留样品；开箱/锁定格暂停供弹。原版装弹面板不会显示外接箱库存。 关联设备和箱子须同一所有者、同一个16×16地图区块。,紧贴原版炮塔、弹药输入箱和通电的供电接口。供弹器通电且有匹配弹药时自动启用炮塔；炮塔本身也须通电。优先使用炮塔内装弹药，耗尽后由服务器每次开火直接扣箱中1发。保持原版敌我设置。可用输出箱供弹且保留样品；开箱/锁定格暂停供弹。原版装弹面板不会显示外接箱库存。 关联设备和箱子须同一所有者、同一个16×16地图区块。
yfAutoIrrigationWater,items,items,,false,灌溉用水,灌溉用水
yfAutoIrrigationWaterDesc,items,items,,false,水泵从邻接水体抽取，存入储水箱。用于自动农场快速收割补种，不能饮用。,水泵从邻接水体抽取，存入储水箱。用于自动农场快速收割补种，不能饮用。
yfAutoBeltStraight,blocks,Block,,false,直线传送带,直线传送带
yfAutoBeltStraightDesc,blocks,Block,,false,按黄色方向标记铺设，后端取输入箱或输出箱，前端接下一段或箱子。每秒前进一段、最多16件；输出箱保留首格样品。连通线路任一段邻接通电供电口即可，每条最多32段。只连接同一所有者、同一16×16区块；断电、满箱、打开库存时暂停。按E查看带上货物；拆除前先取空。坡道末端连接高/低一格的下一段。,按黄色方向标记铺设，后端取输入箱或输出箱，前端接下一段或箱子。每秒前进一段、最多16件；输出箱保留首格样品。连通线路任一段邻接通电供电口即可，每条最多32段。只连接同一所有者、同一16×16区块；断电、满箱、打开库存时暂停。按E查看带上货物；拆除前先取空。坡道末端连接高/低一格的下一段。
yfAutoBeltLeft,blocks,Block,,false,左转传送带,左转传送带
yfAutoBeltLeftDesc,blocks,Block,,false,按黄色方向标记铺设，后端取输入箱或输出箱，前端接下一段或箱子。每秒前进一段、最多16件；输出箱保留首格样品。连通线路任一段邻接通电供电口即可，每条最多32段。只连接同一所有者、同一16×16区块；断电、满箱、打开库存时暂停。按E查看带上货物；拆除前先取空。坡道末端连接高/低一格的下一段。,按黄色方向标记铺设，后端取输入箱或输出箱，前端接下一段或箱子。每秒前进一段、最多16件；输出箱保留首格样品。连通线路任一段邻接通电供电口即可，每条最多32段。只连接同一所有者、同一16×16区块；断电、满箱、打开库存时暂停。按E查看带上货物；拆除前先取空。坡道末端连接高/低一格的下一段。
yfAutoBeltRight,blocks,Block,,false,右转传送带,右转传送带
yfAutoBeltRightDesc,blocks,Block,,false,按黄色方向标记铺设，后端取输入箱或输出箱，前端接下一段或箱子。每秒前进一段、最多16件；输出箱保留首格样品。连通线路任一段邻接通电供电口即可，每条最多32段。只连接同一所有者、同一16×16区块；断电、满箱、打开库存时暂停。按E查看带上货物；拆除前先取空。坡道末端连接高/低一格的下一段。,按黄色方向标记铺设，后端取输入箱或输出箱，前端接下一段或箱子。每秒前进一段、最多16件；输出箱保留首格样品。连通线路任一段邻接通电供电口即可，每条最多32段。只连接同一所有者、同一16×16区块；断电、满箱、打开库存时暂停。按E查看带上货物；拆除前先取空。坡道末端连接高/低一格的下一段。
yfAutoBeltUp,blocks,Block,,false,上坡传送带,上坡传送带
yfAutoBeltUpDesc,blocks,Block,,false,按黄色方向标记铺设，后端取输入箱或输出箱，前端接下一段或箱子。每秒前进一段、最多16件；输出箱保留首格样品。连通线路任一段邻接通电供电口即可，每条最多32段。只连接同一所有者、同一16×16区块；断电、满箱、打开库存时暂停。按E查看带上货物；拆除前先取空。坡道末端连接高/低一格的下一段。,按黄色方向标记铺设，后端取输入箱或输出箱，前端接下一段或箱子。每秒前进一段、最多16件；输出箱保留首格样品。连通线路任一段邻接通电供电口即可，每条最多32段。只连接同一所有者、同一16×16区块；断电、满箱、打开库存时暂停。按E查看带上货物；拆除前先取空。坡道末端连接高/低一格的下一段。
yfAutoBeltDown,blocks,Block,,false,下坡传送带,下坡传送带
yfAutoBeltDownDesc,blocks,Block,,false,按黄色方向标记铺设，后端取输入箱或输出箱，前端接下一段或箱子。每秒前进一段、最多16件；输出箱保留首格样品。连通线路任一段邻接通电供电口即可，每条最多32段。只连接同一所有者、同一16×16区块；断电、满箱、打开库存时暂停。按E查看带上货物；拆除前先取空。坡道末端连接高/低一格的下一段。,按黄色方向标记铺设，后端取输入箱或输出箱，前端接下一段或箱子。每秒前进一段、最多16件；输出箱保留首格样品。连通线路任一段邻接通电供电口即可，每条最多32段。只连接同一所有者、同一16×16区块；断电、满箱、打开库存时暂停。按E查看带上货物；拆除前先取空。坡道末端连接高/低一格的下一段。
yfConfigureMachine,,,,,Configure machine,配置机器
