Key,Source,Context,Changes,English,Koreana
modEnhancedSpearDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to spear proficiency when wearing a full set of improved armor.,향상된 방어구를 위한 강화입니다. 장갑에 설치됩니다.\n\n향상된 갑옷 전체 세트를 착용하면 창 숙련도에 보너스를 부여합니다.
modEnhancedClub,item_modifiers,mod,,[FF6666]«Boost»[-] Clubs,[FF6666]«부스트»[-] 클럽
modEnhancedClubDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to club proficiency when wearing a full set of improved armor.,향상된 방어구를 위한 강화입니다. 장갑에 설치됩니다.\n\n향상된 갑옷 전체 세트를 착용하면 클럽 숙련도에 보너스를 부여합니다.
modEnhancedSledgehammer,item_modifiers,mod,,[FF6666]«Boost»[-] Sledgehammers,[FF6666]«부스트»[-] 큰 망치
modEnhancedSledgehammerDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to sledgehammer proficiency when wearing a full set of improved armor.,향상된 방어구를 위한 강화입니다. 장갑에 설치됩니다.\n\n향상된 갑옷 전체 세트를 착용하면 큰 망치 숙련도에 보너스를 부여합니다.
modEnhancedKnuckles,item_modifiers,mod,,[FF6666]«Boost»[-] Knuckles,[FF6666]<부스트>[-]너클즈
modEnhancedKnucklesDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to knuckle proficiency when wearing a full set of improved armor.,향상된 방어구를 위한 강화입니다. 장갑에 설치됩니다.\n\n향상된 갑옷 전체 세트를 착용하면 너클 숙련도에 보너스를 부여합니다.
modEnhancedKnife,item_modifiers,mod,,[FF6666]«Boost»[-] Knives and Machetes,[FF6666]<부스트>[-]나이프와 마체테
modEnhancedKnifeDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGives a bonus to knife and machete proficiency when wearing a full set of improved armor.,향상된 방어구를 위한 강화입니다. 장갑에 설치됩니다.\n\n향상된 갑옷 전체 세트를 착용하면 칼과 마체테 숙련도에 보너스를 제공합니다.
modEnhancedStunBaton,item_modifiers,mod,,[FF6666]«Boost»[-] Stun Batons,[FF6666]<부스트>[-]스턴봉
modEnhancedStunBatonDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to stun baton proficiency when wearing a full set of improved armor.,향상된 방어구를 위한 강화입니다. 장갑에 설치됩니다.\n\n향상된 방어구 전체 세트를 착용하면 기절봉 숙련도에 보너스를 부여합니다.
armorRogueHelmetImp,items,Clothes,,Rogue Hood [8692FF]Improved[-],로그 후드 [8692FF]«개선됨»[-]
armorRogueHelmetImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Hood. A true rogue always recognizes loot. You find more banknotes and dukes in loot. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt with bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],경갑\n로그 후드의 향상된 버전입니다. 진정한 도적은 항상 전리품을 인식합니다. 전리품에서 더 많은 지폐와 공작을 찾을 수 있습니다. 이제 전투 훈련이 더 잘되었습니다.\n\n풀 세트 보너스: [FF6666]근접 무기 부스트[-] 사용 가능(장갑에 설치됨). 활과 석궁의 피해량이 증가합니다.\n\n[DECEA3]수리에는 수리 키트(개선됨)가 필요합니다.[-]
armorRogueOutfitImp,items,Clothes,,Rogue Outfit [8692FF]Improved[-],Rogue Outfit [8692FF]«개선됨»[-]
armorRogueOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's outfit. Heals wounds like a dog. Increases the speed of critical wound healing. You can now carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],경갑\n도적 복장의 개선된 버전입니다. 개처럼 상처를 치료합니다. 심각한 상처 치유 속도가 증가합니다. 이제 더 많이 휴대할 수 있습니다.\n\n풀 세트 보너스: 사용 가능 [FF6666]근접 무기 부스트[-](장갑에 설치됨). 활과 석궁의 피해량이 증가합니다.\n\n[DECEA3]수리에는 수리 키트(개선됨)가 필요합니다.[-]
armorRogueGlovesImp,items,Clothes,,Rogue Gloves [8692FF]Improved[-],로그 장갑 [8692FF]«개량형»[-]
armorRogueGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Gloves. Arrows and bolts do not slip out of your hands at an inopportune moment. Increased reload speed of bows and crossbows. You can install a boost to increase the attack speed of melee weapons.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],경갑\n도적 장갑의 향상된 버전입니다. 부적절한 순간에 화살과 볼트가 손에서 미끄러지지 않습니다. 활과 석궁의 재장전 속도가 증가했습니다. 근접 무기의 공격 속도를 높이기 위해 부스트를 설치할 수 있습니다.\n\n풀 세트 보너스: 사용 가능 [FF6666]근접 무기 부스트[-](장갑에 설치됨). 활과 석궁의 피해량이 증가합니다.\n\n[DECEA3]수리에는 수리 키트(개선됨)가 필요합니다.[-]
armorRogueBootsImp,items,Clothes,,Rogue Shoes [8692FF]Improved[-],로그 슈즈 [8692FF]«개선됨»[-]
armorRogueBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's Boots. Almost ninja-like. Less noise and faster movement in stealth. Much easier to maintain balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],경갑\n도적의 부츠의 향상된 버전입니다. 거의 닌자 수준. 스텔스 모드에서는 소음이 적고 움직임이 더 빠릅니다. 근접 공격 중에 균형을 유지하기가 훨씬 쉽습니다.\n\n풀 세트 보너스: 사용 가능 [FF6666]근접 무기 부스트[-](장갑에 설치됨). 활과 석궁의 피해량이 증가합니다.\n\n[DECEA3]수리에는 수리 키트(개선됨)가 필요합니다.[-]
buffRogueImpSetBonus,buffs,Buff,,[8692FF]Rogue[-],[8692FF]도적[-]
buffRogueImpSetBonusName,buffs,buff,,Armor Bonus,갑옷 보너스
buffRogueImpSetBonusTooltip,buffs,buff,,You are affected by the improved Rogue armor bonus.,당신은 향상된 도적 방어구 보너스의 영향을 받습니다.
buffRogueImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Rogue»[-] improved armor.\nBow and crossbow damage increased by [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-].","[8692FF]<Rogue>[-] 향상된 방어구 전체 세트를 장착했습니다.\n활과 석궁 공격력이 [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]만큼 증가했습니다. 근접 무기 강화 시: 공격력 [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-] 증가, 공격 속도 [DECEA3]{cvar(.armorEnhancedSpeedSpeedRogueImpFSBDisplay:0)}%[-] 증가, 체력 소모 감소 [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-]."
armorEnforcerHelmetImp,items,Clothes,,Enforcer Sunglasses [8692FF]Improved[-],집행자 선글라스 [8692FF]«개선»[-]
armorEnforcerHelmetImpDesc,items,Clothes,,"Light Armor\nAn improved version of the Enforcer Sunglasses. With these glasses, you can always negotiate a good price for your product. This increases the selling price. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-]",경갑\n집행자 선글라스의 향상된 버전입니다. 이 안경을 사용하면 언제든지 제품에 대해 좋은 가격을 협상할 수 있습니다. 이로 인해 판매 가격이 증가합니다. 이제 전투 훈련이 더 잘되었습니다.\n\n풀 세트 보너스: [FF6666]근접 무기 부스트[-] 사용 가능(장갑에 설치됨). 총잡이 능력의 데미지를 증가시킵니다.\n\n[DECEA3]수리에는 수리 키트(개선됨)가 필요합니다.[-]
armorEnforcerOutfitImp,items,Clothes,,Enforcer Outfit [8692FF]Improved[-],집행자 복장 [8692FF]«개선됨»[-]
armorEnforcerOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Outfit. Stylish and lightweight materials mean you can withstand any impact. Increases resistance to critical injuries. Now you can carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],경갑옷\n집행자 의상의 개선된 버전입니다. 세련되고 가벼운 소재로 어떤 충격에도 견딜 수 있습니다. 심각한 부상에 대한 저항력이 증가합니다. 이제 더 많이 휴대할 수 있습니다.\n\n풀 세트 보너스: 사용 가능 [FF6666]근접 무기 부스트[-](장갑에 설치됨). 총잡이 능력의 데미지를 증가시킵니다.\n\n[DECEA3]수리에는 수리 키트(개선됨)가 필요합니다.[-]
armorEnforcerGlovesImp,items,Clothes,,Enforcer Gloves [8692FF]Improved[-],집행자 장갑 [8692FF]«개량형»[-]
armorEnforcerGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Gloves. Gloves like these were worn back in the days of the Wild West. Increases reload speed for SMGs and pistols. You can install a boost to increase melee weapon attack speed.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],경갑\n집행자 장갑의 향상된 버전입니다. 이와 같은 장갑은 서부 개척시대에도 착용되었습니다. SMG와 권총의 재장전 속도가 증가합니다. 근접 무기 공격 속도를 높이기 위해 부스트를 설치할 수 있습니다.\n\n풀 세트 보너스: 사용 가능 [FF6666]근접 무기 부스트[-](장갑에 설치됨). 총잡이 능력으로 입히는 피해량이 증가합니다.\n\n[DECEA3]수리에는 수리 키트(개선됨)가 필요합니다.[-]
armorEnforcerBootsImp,items,Clothes,,Enforcer Shoes [8692FF]Improved[-],집행자 신발 [8692FF]«개선»[-]
armorEnforcerBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Shoes.\nThese shoes will not soon become unusable. Increases stamina. It is much easier for you to maintain your balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],경갑\n집행자 신발의 개선된 버전입니다.\n이 신발은 곧 사용할 수 없게 됩니다. 체력을 증가시킵니다. 근접 공격 중에 균형을 유지하는 것이 훨씬 쉽습니다.\n\n풀 세트 보너스: 사용 가능 [FF6666]근접 무기 부스트[-](장갑에 설치됨). 총잡이 능력의 데미지를 증가시킵니다.\n\n[DECEA3]수리에는 수리 키트(개선됨)가 필요합니다.[-]
buffEnforcerImpSetBonus,buffs,Buff,,[8692FF]Enforcer[-],[8692FF]집행자[-]
buffEnforcerImpSetBonusName,buffs,buff,,Armor Bonus,갑옷 보너스
buffEnforcerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Enforcer armor bonus.,향상된 집행자 방어구 보너스의 영향을 받습니다.
buffEnforcerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Enforcer»[-] improved Armor\nSMG and pistol damage increased by [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-].","[8692FF]<집행자>[-] 향상된 방어구 세트를 모두 장착했으며\nSMG 및 권총 데미지가 [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]만큼 증가했습니다. 근접 무기 강화 시 : 데미지 [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-] 증가, 공격 속도 [DECEA3]{cvar(.armorEnhancedSpeedSpeedEnforcerImpFSBDisplay:0)}%[-] 증가, 체력 소모 감소 [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-]."
armorRangerHelmetImp,items,Clothes,,Ranger Helmet [8692FF]Improved[-],레인저 헬멧 [8692FF]«개량형»[-]
armorRangerHelmetImpDesc,items,Clothes,,"Medium Armor\nImproved version of the Ranger Hat. Rangers are fierce negotiators, especially when wearing a well-made hat. Increases the profitability of trade deals. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]",중간 갑옷\n레인저 모자의 향상된 버전입니다. 레인저스는 특히 잘 만들어진 모자를 쓰고 있을 때 치열한 협상가입니다. 무역 거래의 수익성이 높아집니다. 이제 전투 훈련이 더 잘되었습니다.\n\n[DECEA3]풀 세트 보너스:[-]\n[FF6666]근접 무기 부스트[-] 사용 가능(장갑에 설치). 원거리 무기의 피해량이 증가합니다.\n\n[DECEA3]수리에는 수리 키트(개선됨)가 필요합니다.[-]
armorRangerOutfitImp,items,Clothes,,Ranger Outfit [8692FF]Improved[-],레인저 복장 [8692FF]«개선됨»[-]
armorRangerOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Ranger Outfit. Nature has taught strength not only of the spirit, but also of the body. Increases the number of health units, as well as your load capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]",중갑옷\n레인저 복장의 개선된 버전입니다. 자연은 정신의 힘뿐만 아니라 육체의 힘도 가르쳤습니다. 로드 용량뿐만 아니라 체력 유닛의 수도 증가합니다.\n\n[DECEA3]풀 세트 보너스:[-]\n[FF6666]근접 무기 부스트[-] 사용 가능(장갑에 설치). 원거리 무기의 피해량이 증가합니다.\n\n[DECEA3]수리에는 수리 키트(개선됨)가 필요합니다.[-]
armorRangerGlovesImp,items,Clothes,,Ranger Gloves [8692FF]Improved[-],레인저 장갑 [8692FF]«개량형»[-]
armorRangerGlovesImpDesc,items,Clothes,,Medium Armor\nImproved version of the Ranger's Gloves. These comfortable gloves allow you to quickly handle any weapon. Increases weapon reload speed. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],중간 갑옷\n순찰자 장갑의 향상된 버전입니다. 이 편안한 장갑을 사용하면 어떤 무기라도 빠르게 다룰 수 있습니다. 무기 재장전 속도가 증가합니다. 근접 무기의 공격 속도를 높이기 위해 부스트를 설치할 수 있습니다.\n\n[DECEA3]풀 세트 보너스:[-]\n[FF6666]근접 무기 부스트[-] 사용 가능(장갑에 설치). 원거리 무기의 피해량이 증가합니다.\n\n[DECEA3]수리에는 수리 키트(개선됨)가 필요합니다.[-]
armorRangerBootsImp,items,Clothes,,Ranger Boots [8692FF]Improved[-],레인저 부츠 [8692FF]«개량형»[-]
armorRangerBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Ranger's Boots. Stamina is the key to successful survival in the wilderness. Increases your stamina. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],중간 갑옷\n레인저 부츠의 향상된 버전입니다. 체력은 황야에서 성공적으로 생존하는 열쇠입니다. 체력을 증가시킵니다. 근접 공격 중에 균형을 유지하는 것이 훨씬 쉽습니다.\n\n[DECEA3]풀 세트 보너스:[-]\n[FF6666]근접 무기 부스트[-] 사용 가능(장갑에 설치). 원거리 무기의 피해량이 증가합니다.\n\n[DECEA3]수리에는 수리 키트(개선됨)가 필요합니다.[-]
buffRangerImpSetBonus,buffs,Buff,,[8692FF]Ranger[-],[8692FF]레인저[-]
buffRangerImpSetBonusName,buffs,buff,,Armor Bonus,갑옷 보너스
buffRangerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Ranger armor bonus.,향상된 레인저 방어구 보너스의 영향을 받습니다.
buffRangerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Ranger»[-] improved Armor\nRanged weapon damage increased by [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-].","귀하는 [8692FF]<레인저>[-] 향상된 방어구 세트를 모두 장착했습니다.\n원거리 무기 공격력이 [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]만큼 증가했습니다. 근접 무기 강화 시: 데미지 [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-] 증가, 공격 속도 [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-] 증가, 체력 소모 감소 [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-]."
armorCommandoHelmetImp,items,Clothes,,Commando Helmet [8692FF]Improved[-],코만도 헬멧 [8692FF]«개량형»[-]
armorCommandoHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces Helmet. Health regeneration rate has been increased. You are now better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],중갑\n특수부대 헬멧의 향상된 버전입니다. 체력 재생 속도가 증가되었습니다. 이제 전투 훈련이 더 잘되었습니다.\n\n[DECEA3]풀 세트 보너스:[-]\n[FF6666]근접 무기 부스트[-] 사용 가능(장갑에 설치). 자동 무기의 피해량이 증가합니다.\n\n[DECEA3]수리에는 수리 키트(개선됨)가 필요합니다.[-]
armorCommandoOutfitImp,items,Clothes,,Commando Outfit [8692FF]Improved[-],특공대 복장 [8692FF]«개선됨»[-]
armorCommandoOutfitImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces uniform. True Special Forces can take any hit without flinching. Faster recovery from critical injuries.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],중갑옷\n특수부대 유니폼의 개선된 버전입니다. 진정한 특수부대는 어떠한 공격에도 움츠러들지 않고 대처할 수 있습니다. 심각한 부상으로부터 더 빠른 회복.\n\n[DECEA3]풀 세트 보너스:[-]\n[FF6666]근접 무기 부스트[-] 사용 가능(장갑에 설치). 자동 무기의 피해량이 증가합니다.\n\n[DECEA3]수리에는 수리 키트(개선됨)가 필요합니다.[-]
armorCommandoGlovesImp,items,Clothes,,Commando Gloves [8692FF]Improved[-],코만도 장갑 [8692FF]«개량형»[-]
armorCommandoGlovesImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Commando Gloves. A good marksman can easily disassemble and reassemble his weapon, and the reloading process has been perfected. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]",중갑\n코만도 장갑의 향상된 버전입니다. 훌륭한 사수는 무기를 쉽게 분해하고 재조립할 수 있으며 재장전 과정도 완벽해졌습니다. 근접 무기의 공격 속도를 높이기 위해 부스트를 설치할 수 있습니다.\n\n[DECEA3]풀 세트 보너스:[-]\n[FF6666]근접 무기 부스트[-] 사용 가능(장갑에 설치). 자동 무기의 피해량이 증가합니다.\n\n[DECEA3]수리에는 수리 키트(개선됨)가 필요합니다.[-]
armorCommandoBootsImp,items,Clothes,,Commando Boots [8692FF]Improved[-],특공대 부츠 [8692FF]«개선됨»[-]
armorCommandoBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces boots. These boots are suitable for the most difficult obstacle course. Increases the safe fall height. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],중갑\n특수부대 부츠의 개선된 버전입니다. 이 부츠는 가장 어려운 장애물 코스에 적합합니다. 안전한 낙하 높이를 높입니다. 근접 공격 중에 균형을 유지하는 것이 훨씬 쉽습니다.\n\n[DECEA3]풀 세트 보너스:[-]\n[FF6666]근접 무기 부스트[-] 사용 가능(장갑에 설치). 자동 무기의 피해량이 증가합니다.\n\n[DECEA3]수리에는 수리 키트(개선됨)가 필요합니다.[-]
buffCommandoImpSetBonus,buffs,Buff,,[8692FF]Commando[-],[8692FF]코만도[-]
buffCommandoImpSetBonusName,buffs,buff,,Armor Bonus,갑옷 보너스
buffCommandoImpSetBonusTooltip,buffs,buff,,You are affected by the improved Commando armor bonus.,향상된 특공대 방어구 보너스의 영향을 받습니다.
buffCommandoImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Commando»[-] improved Armor\nAutomatic weapon damage increased by [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-].","귀하는 [8692FF]<코만도>[-] 향상된 방어구 세트를 모두 장착했습니다.\n자동 무기 공격력이 [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]만큼 증가했습니다. 근접 무기 강화 시: 데미지 [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-] 증가, 공격 속도 [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-] 증가, 체력 소모 감소 [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-]."
armorAssassinHelmetImp,items,Clothes,,Assassin Helmet [8692FF]Improved[-],암살자 헬멧 [8692FF]«개선됨»[-]
armorAssassinHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Assassin Hood. They won't even notice. Increases damage while stealthed. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-],중간 갑옷\n암살자 후드의 향상된 버전입니다. 그들은 심지어 눈치 채지 못할 것입니다. 은신 상태에서는 데미지가 증가합니다. 이제 전투 훈련이 더 잘되었습니다.\n\n[DECEA3]풀 세트 보너스:[-]\n[FF6666]근접 무기 부스트[-] 사용 가능(장갑에 설치). 저격소총의 피해량이 증가합니다.\n\n[DECEA3]수리에는 수리 키트(개선됨)가 필요합니다.[-]
armorAssassinOutfitImp,items,Clothes,,Assassin Outfit [8692FF]Improved[-],암살자 복장 [8692FF]«개선됨»[-]
armorAssassinOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Assassin Outfit. Be unseen, unheard, and unharmed. Increases your effectiveness while in stealth mode and your carrying capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-]","중갑옷\n암살자 의상의 향상된 버전입니다. 눈에 보이지 않고, 들리지 않으며, 무사히 지내십시오. 스텔스 모드에 있는 동안 효율성과 운반 능력이 증가합니다.\n\n[DECEA3]풀 세트 보너스:[-]\n[FF6666]근접 무기 부스트[-] 사용 가능(장갑에 설치). 저격소총의 피해량이 증가합니다.\n\n[DECEA3]수리에는 수리 키트(개선됨)가 필요합니다.[-]"
armorAssassinGlovesImp,items,Clothes,,Assassin Gloves [8692FF]Improved[-],암살자 장갑 [8692FF]«개선됨»[-]
