Key,Source,Context,Changes,English,French
modEnhancedSpearDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to spear proficiency when wearing a full set of improved armor.,Amélioration pour une armure améliorée. Installé dans les gants.\n\nAccorde un bonus à la maîtrise de la lance lorsque vous portez un ensemble complet d'armure améliorée.
modEnhancedClub,item_modifiers,mod,,[FF6666]«Boost»[-] Clubs,[FF6666]«Boost»[-] Massues
modEnhancedClubDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to club proficiency when wearing a full set of improved armor.,Amélioration pour une armure améliorée. Installé dans les gants.\n\nAccorde un bonus à la maîtrise du club lorsque vous portez un ensemble complet d'armure améliorée.
modEnhancedSledgehammer,item_modifiers,mod,,[FF6666]«Boost»[-] Sledgehammers,[FF6666]«Boost»[-] Masses
modEnhancedSledgehammerDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to sledgehammer proficiency when wearing a full set of improved armor.,Amélioration pour une armure améliorée. Installé dans des gants.\n\nAccorde un bonus à la maîtrise du marteau lorsque vous portez un ensemble complet d'armure améliorée.
modEnhancedKnuckles,item_modifiers,mod,,[FF6666]«Boost»[-] Knuckles,[FF6666]«Boost»[-] Jointures
modEnhancedKnucklesDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to knuckle proficiency when wearing a full set of improved armor.,Amélioration pour une armure améliorée. Installé dans les gants.\n\nAccorde un bonus à la maîtrise des articulations lorsque vous portez un ensemble complet d'armure améliorée.
modEnhancedKnife,item_modifiers,mod,,[FF6666]«Boost»[-] Knives and Machetes,[FF6666]«Boost»[-] Couteaux et machettes
modEnhancedKnifeDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGives a bonus to knife and machete proficiency when wearing a full set of improved armor.,Amélioration pour une armure améliorée. Installé dans les gants.\n\nDonne un bonus à la maîtrise du couteau et de la machette lorsque vous portez un ensemble complet d'armure améliorée.
modEnhancedStunBaton,item_modifiers,mod,,[FF6666]«Boost»[-] Stun Batons,[FF6666]«Boost»[-] Bâtons paralysants
modEnhancedStunBatonDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to stun baton proficiency when wearing a full set of improved armor.,Amélioration pour une armure améliorée. Installé dans les gants.\n\nAccorde un bonus à la maîtrise du bâton paralysant lorsque vous portez un ensemble complet d'armure améliorée.
armorRogueHelmetImp,items,Clothes,,Rogue Hood [8692FF]Improved[-],Rogue Hood [8692FF]«Amélioré»[-]
armorRogueHelmetImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Hood. A true rogue always recognizes loot. You find more banknotes and dukes in loot. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt with bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armure légère\nUne version améliorée du Rogue Hood. Un vrai voleur reconnaît toujours le butin. Vous trouvez plus de billets de banque et de ducs dans le butin. Vous êtes désormais mieux entraîné au combat.\n\nBonus d'ensemble complet : disponible [FF6666]Boost d'arme de mêlée[-] (installé dans les gants). Augmente les dégâts infligés par les arcs et les arbalètes.\n\n[DECEA3]La réparation nécessite un kit de réparation (amélioré).[-]
armorRogueOutfitImp,items,Clothes,,Rogue Outfit [8692FF]Improved[-],Tenue de Voleur [8692FF]«Améliorée»[-]
armorRogueOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's outfit. Heals wounds like a dog. Increases the speed of critical wound healing. You can now carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armure légère\nUne version améliorée de la tenue du Voleur. Guérit les blessures comme un chien. Augmente la vitesse de cicatrisation critique des plaies. Vous pouvez désormais en transporter davantage.\n\nBonus d'ensemble complet : disponible [FF6666]Boost d'arme de mêlée[-] (installé dans les gants). Augmente les dégâts infligés par les arcs et les arbalètes.\n\n[DECEA3]La réparation nécessite un kit de réparation (amélioré).[-]
armorRogueGlovesImp,items,Clothes,,Rogue Gloves [8692FF]Improved[-],Gants de voleur [8692FF]«Amélioré»[-]
armorRogueGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Gloves. Arrows and bolts do not slip out of your hands at an inopportune moment. Increased reload speed of bows and crossbows. You can install a boost to increase the attack speed of melee weapons.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armure légère\nUne version améliorée des gants Rogue. Les flèches et les carreaux ne vous échappent pas des mains à un moment inopportun. Augmentation de la vitesse de rechargement des arcs et des arbalètes. Vous pouvez installer un boost pour augmenter la vitesse d'attaque des armes de mêlée.\n\nBonus d'ensemble complet : disponible [FF6666]Boost d'arme de mêlée[-] (installé dans les gants). Augmente les dégâts infligés par les arcs et les arbalètes.\n\n[DECEA3]La réparation nécessite un kit de réparation (amélioré).[-]
armorRogueBootsImp,items,Clothes,,Rogue Shoes [8692FF]Improved[-],Chaussures Rogue [8692FF]«Amélioré»[-]
armorRogueBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's Boots. Almost ninja-like. Less noise and faster movement in stealth. Much easier to maintain balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armure légère\nUne version améliorée des bottes du voleur. Presque ninja. Moins de bruit et des mouvements plus rapides en mode furtif. Il est beaucoup plus facile de maintenir l'équilibre lors des attaques de mêlée.\n\nBonus d'ensemble complet : disponible [FF6666]Boost d'arme de mêlée[-] (installé dans les gants). Augmente les dégâts infligés par les arcs et les arbalètes.\n\n[DECEA3]La réparation nécessite un kit de réparation (amélioré).[-]
buffRogueImpSetBonus,buffs,Buff,,[8692FF]Rogue[-],[8692FF]Voleur[-]
buffRogueImpSetBonusName,buffs,buff,,Armor Bonus,Bonus d'armure
buffRogueImpSetBonusTooltip,buffs,buff,,You are affected by the improved Rogue armor bonus.,Vous êtes concerné par le bonus d'armure Rogue amélioré.
buffRogueImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Rogue»[-] improved armor.\nBow and crossbow damage increased by [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-].","Vous avez équipé un ensemble complet d'armure améliorée [8692FF]« Voleur »[-].\nDégâts de l'arc et de l'arbalète augmentés de [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. Lors de l'amélioration des armes de mêlée : dégâts augmentés de [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], vitesse d'attaque augmentée de [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], consommation d'endurance réduite de [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-]."
armorEnforcerHelmetImp,items,Clothes,,Enforcer Sunglasses [8692FF]Improved[-],Lunettes de soleil Enforcer [8692FF]«Amélioré»[-]
armorEnforcerHelmetImpDesc,items,Clothes,,"Light Armor\nAn improved version of the Enforcer Sunglasses. With these glasses, you can always negotiate a good price for your product. This increases the selling price. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Armure légère\nUne version améliorée des lunettes de soleil Enforcer. Avec ces lunettes, vous pouvez toujours négocier un bon prix pour votre produit. Cela augmente le prix de vente. Vous êtes désormais mieux entraîné au combat.\n\nBonus d'ensemble complet : disponible [FF6666]Boost d'arme de mêlée[-] (installé dans les gants). Augmente les dégâts de la capacité Gunslinger.\n\n[DECEA3]La réparation nécessite un kit de réparation (amélioré).[-]"
armorEnforcerOutfitImp,items,Clothes,,Enforcer Outfit [8692FF]Improved[-],Tenue d'Enforcer [8692FF]«Améliorée»[-]
armorEnforcerOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Outfit. Stylish and lightweight materials mean you can withstand any impact. Increases resistance to critical injuries. Now you can carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armure légère\nUne version améliorée de la tenue Enforcer. Des matériaux élégants et légers vous permettent de résister à n'importe quel impact. Augmente la résistance aux blessures critiques. Vous pouvez désormais en transporter davantage.\n\nBonus d'ensemble complet : disponible [FF6666]Boost d'arme de mêlée[-] (installé dans les gants). Augmente les dégâts de la capacité Gunslinger.\n\n[DECEA3]La réparation nécessite un kit de réparation (amélioré).[-]
armorEnforcerGlovesImp,items,Clothes,,Enforcer Gloves [8692FF]Improved[-],Gants Enforcer [8692FF]«Amélioré»[-]
armorEnforcerGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Gloves. Gloves like these were worn back in the days of the Wild West. Increases reload speed for SMGs and pistols. You can install a boost to increase melee weapon attack speed.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armure légère\nUne version améliorée des gants Enforcer. Des gants comme ceux-ci étaient portés à l’époque du Far West. Augmente la vitesse de rechargement des SMG et des pistolets. Vous pouvez installer un boost pour augmenter la vitesse d'attaque des armes de mêlée.\n\nBonus d'ensemble complet : disponible [FF6666]Boost d'armes de mêlée[-] (installé dans les gants). Augmente les dégâts infligés par la capacité Gunslinger.\n\n[DECEA3]La réparation nécessite un kit de réparation (amélioré).[-]
armorEnforcerBootsImp,items,Clothes,,Enforcer Shoes [8692FF]Improved[-],Chaussures Enforcer [8692FF]«Amélioré»[-]
armorEnforcerBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Shoes.\nThese shoes will not soon become unusable. Increases stamina. It is much easier for you to maintain your balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armure légère\nUne version améliorée des chaussures Enforcer.\nCes chaussures ne deviendront pas bientôt inutilisables. Augmente l'endurance. Il vous est beaucoup plus facile de maintenir votre équilibre lors d'attaques de mêlée.\n\nBonus d'ensemble complet : disponible [FF6666]Boost d'arme de mêlée[-] (installé dans les gants). Augmente les dégâts de la capacité Gunslinger.\n\n[DECEA3]La réparation nécessite un kit de réparation (amélioré).[-]
buffEnforcerImpSetBonus,buffs,Buff,,[8692FF]Enforcer[-],[8692FF]Enforceur[-]
buffEnforcerImpSetBonusName,buffs,buff,,Armor Bonus,Bonus d'armure
buffEnforcerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Enforcer armor bonus.,Vous êtes affecté par le bonus d'armure Enforcer amélioré.
buffEnforcerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Enforcer»[-] improved Armor\nSMG and pistol damage increased by [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-].","Vous avez équipé un ensemble complet de [8692FF]«Enforcer»[-] Armure améliorée\nSMG et dégâts de pistolet augmentés de [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. Lors de l'amélioration des armes de mêlée : dégâts augmentés de [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], vitesse d'attaque augmentée de [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], consommation d'endurance réduite de [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-]."
armorRangerHelmetImp,items,Clothes,,Ranger Helmet [8692FF]Improved[-],Casque de Ranger [8692FF]«Amélioré»[-]
armorRangerHelmetImpDesc,items,Clothes,,"Medium Armor\nImproved version of the Ranger Hat. Rangers are fierce negotiators, especially when wearing a well-made hat. Increases the profitability of trade deals. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Armure moyenne\nVersion améliorée du chapeau de Ranger. Les Rangers sont de féroces négociateurs, surtout lorsqu’ils portent un chapeau bien fait. Augmente la rentabilité des accords commerciaux. Vous êtes désormais mieux entraîné au combat.\n\n[DECEA3]Bonus d'ensemble complet :[-]\n[FF6666]Boost d'arme de mêlée[-] disponible (installé dans les gants). Augmente les dégâts infligés par les armes à distance.\n\n[DECEA3]La réparation nécessite un kit de réparation (amélioré).[-]"
armorRangerOutfitImp,items,Clothes,,Ranger Outfit [8692FF]Improved[-],Tenue de Ranger [8692FF]«Améliorée»[-]
armorRangerOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Ranger Outfit. Nature has taught strength not only of the spirit, but also of the body. Increases the number of health units, as well as your load capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Armure moyenne\nUne version améliorée de la tenue de Ranger. La nature a enseigné la force non seulement de l’esprit, mais aussi du corps. Augmente le nombre d'unités de santé, ainsi que votre capacité de charge.\n\n[DECEA3]Bonus d'ensemble complet :[-]\n[FF6666]Boost d'arme de mêlée[-] disponible (installé dans les gants). Augmente les dégâts infligés par les armes à distance.\n\n[DECEA3]La réparation nécessite un kit de réparation (amélioré).[-]"
armorRangerGlovesImp,items,Clothes,,Ranger Gloves [8692FF]Improved[-],Gants de Ranger [8692FF]«Amélioré»[-]
armorRangerGlovesImpDesc,items,Clothes,,Medium Armor\nImproved version of the Ranger's Gloves. These comfortable gloves allow you to quickly handle any weapon. Increases weapon reload speed. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armure moyenne\nVersion améliorée des gants du Ranger. Ces gants confortables vous permettent de manipuler rapidement n'importe quelle arme. Augmente la vitesse de rechargement des armes. Vous pouvez installer un boost pour augmenter la vitesse d'attaque des armes de mêlée.\n\n[DECEA3]Bonus d'ensemble complet :[-]\n[FF6666]Boost d'arme de mêlée[-] disponible (installé dans les gants). Augmente les dégâts infligés par les armes à distance.\n\n[DECEA3]La réparation nécessite un kit de réparation (amélioré).[-]
armorRangerBootsImp,items,Clothes,,Ranger Boots [8692FF]Improved[-],Bottes de Ranger [8692FF]«Amélioré»[-]
armorRangerBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Ranger's Boots. Stamina is the key to successful survival in the wilderness. Increases your stamina. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armure moyenne\nUne version améliorée des bottes du Ranger. L'endurance est la clé d'une survie réussie dans la nature. Augmente votre endurance. Il vous est beaucoup plus facile de maintenir votre équilibre lors d'attaques de mêlée.\n\n[DECEA3]Bonus d'ensemble complet :[-]\n[FF6666]Boost d'arme de mêlée[-] disponible (installé dans les gants). Augmente les dégâts infligés par les armes à distance.\n\n[DECEA3]La réparation nécessite un kit de réparation (amélioré).[-]
buffRangerImpSetBonus,buffs,Buff,,[8692FF]Ranger[-],[8692FF]Rôdeur[-]
buffRangerImpSetBonusName,buffs,buff,,Armor Bonus,Bonus d'armure
buffRangerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Ranger armor bonus.,Vous êtes affecté par le bonus d'armure amélioré du Ranger.
buffRangerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Ranger»[-] improved Armor\nRanged weapon damage increased by [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-].","Vous avez équipé un ensemble complet de [8692FF]«Ranger»[-] Armure améliorée\nDégâts des armes à distance augmentés de [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. Lors de l'amélioration des armes de mêlée : dégâts augmentés de [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], vitesse d'attaque augmentée de [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], consommation d'endurance réduite de [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-]."
armorCommandoHelmetImp,items,Clothes,,Commando Helmet [8692FF]Improved[-],Casque Commando [8692FF]«Amélioré»[-]
armorCommandoHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces Helmet. Health regeneration rate has been increased. You are now better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armure moyenne\nUne version améliorée du casque des forces spéciales. Le taux de régénération de la santé a été augmenté. Vous êtes désormais mieux entraîné au combat.\n\n[DECEA3]Bonus d'ensemble complet :[-]\n[FF6666]Boost d'arme de mêlée[-] disponible (installé dans les gants). Augmente les dégâts infligés par les armes automatiques.\n\n[DECEA3]La réparation nécessite un kit de réparation (amélioré).[-]
armorCommandoOutfitImp,items,Clothes,,Commando Outfit [8692FF]Improved[-],Tenue Commando [8692FF]«Améliorée»[-]
armorCommandoOutfitImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces uniform. True Special Forces can take any hit without flinching. Faster recovery from critical injuries.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armure moyenne\nUne version améliorée de l'uniforme des forces spéciales. Les véritables forces spéciales peuvent encaisser n’importe quel coup sans broncher. Récupération plus rapide des blessures critiques.\n\n[DECEA3]Bonus d'ensemble complet :[-]\n[FF6666]Boost d'arme de mêlée[-] disponible (installé dans les gants). Augmente les dégâts infligés par les armes automatiques.\n\n[DECEA3]La réparation nécessite un kit de réparation (amélioré).[-]
armorCommandoGlovesImp,items,Clothes,,Commando Gloves [8692FF]Improved[-],Gants Commando [8692FF]«Amélioré»[-]
armorCommandoGlovesImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Commando Gloves. A good marksman can easily disassemble and reassemble his weapon, and the reloading process has been perfected. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Armure moyenne\nUne version améliorée des gants Commando. Un bon tireur peut facilement démonter et remonter son arme, et le processus de rechargement a été perfectionné. Vous pouvez installer un boost pour augmenter la vitesse d'attaque des armes de mêlée.\n\n[DECEA3]Bonus d'ensemble complet :[-]\n[FF6666]Boost d'arme de mêlée[-] disponible (installé dans les gants). Augmente les dégâts infligés par les armes automatiques.\n\n[DECEA3]La réparation nécessite un kit de réparation (amélioré).[-]"
armorCommandoBootsImp,items,Clothes,,Commando Boots [8692FF]Improved[-],Bottes Commando [8692FF]«Amélioré»[-]
armorCommandoBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces boots. These boots are suitable for the most difficult obstacle course. Increases the safe fall height. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armure moyenne\nUne version améliorée des bottes des forces spéciales. Ces bottes sont adaptées aux parcours d'obstacles les plus difficiles. Augmente la hauteur de chute sûre. Il vous est beaucoup plus facile de maintenir votre équilibre lors d'attaques de mêlée.\n\n[DECEA3]Bonus d'ensemble complet :[-]\n[FF6666]Boost d'arme de mêlée[-] disponible (installé dans les gants). Augmente les dégâts infligés par les armes automatiques.\n\n[DECEA3]La réparation nécessite un kit de réparation (amélioré).[-]
buffCommandoImpSetBonus,buffs,Buff,,[8692FF]Commando[-],[8692FF]Commandes[-]
buffCommandoImpSetBonusName,buffs,buff,,Armor Bonus,Bonus d'armure
buffCommandoImpSetBonusTooltip,buffs,buff,,You are affected by the improved Commando armor bonus.,Vous êtes concerné par le bonus d'armure Commando amélioré.
buffCommandoImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Commando»[-] improved Armor\nAutomatic weapon damage increased by [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-].","Vous avez équipé un ensemble complet de [8692FF]« Commando »[-] Armure améliorée\nDégâts automatiques des armes augmentés de [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]. Lors de l'amélioration des armes de mêlée : dégâts augmentés de [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-], vitesse d'attaque augmentée de [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-], consommation d'endurance réduite de [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-]."
armorAssassinHelmetImp,items,Clothes,,Assassin Helmet [8692FF]Improved[-],Casque d'Assassin [8692FF]«Amélioré»[-]
armorAssassinHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Assassin Hood. They won't even notice. Increases damage while stealthed. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armure moyenne\nUne version améliorée de l'Assassin Hood. Ils ne le remarqueront même pas. Augmente les dégâts en mode furtif. Vous êtes désormais mieux entraîné au combat.\n\n[DECEA3]Bonus d'ensemble complet :[-]\n[FF6666]Boost d'arme de mêlée[-] disponible (installé dans les gants). Augmente les dégâts infligés par les fusils de sniper.\n\n[DECEA3]La réparation nécessite un kit de réparation (amélioré).[-]
armorAssassinOutfitImp,items,Clothes,,Assassin Outfit [8692FF]Improved[-],Tenue d'Assassin [8692FF]«Améliorée»[-]
armorAssassinOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Assassin Outfit. Be unseen, unheard, and unharmed. Increases your effectiveness while in stealth mode and your carrying capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Armure moyenne\nUne version améliorée de la tenue d'assassin. Soyez invisible, inaudible et indemne. Augmente votre efficacité en mode furtif et votre capacité de transport.\n\n[DECEA3]Bonus d'ensemble complet :[-]\n[FF6666]Boost d'arme de mêlée[-] disponible (installé dans les gants). Augmente les dégâts infligés par les fusils de sniper.\n\n[DECEA3]La réparation nécessite un kit de réparation (amélioré).[-]"
armorAssassinGlovesImp,items,Clothes,,Assassin Gloves [8692FF]Improved[-],Gants d'Assassin [8692FF]«Amélioré»[-]
