Key,Source,Context,Changes,English,Brazilian
modEnhancedSpearDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to spear proficiency when wearing a full set of improved armor.,Aprimoramento para armadura aprimorada. Instalado em luvas.\n\nConcede um bônus de proficiência com lança ao usar um conjunto completo de armadura aprimorada.
modEnhancedClub,item_modifiers,mod,,[FF6666]«Boost»[-] Clubs,[FF6666]«Boost»[-] Clubes
modEnhancedClubDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to club proficiency when wearing a full set of improved armor.,Aprimoramento para armadura aprimorada. Instalado em luvas.\n\nConcede um bônus de proficiência no taco ao usar um conjunto completo de armadura aprimorada.
modEnhancedSledgehammer,item_modifiers,mod,,[FF6666]«Boost»[-] Sledgehammers,[FF6666]«Boost»[-] Marretas
modEnhancedSledgehammerDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to sledgehammer proficiency when wearing a full set of improved armor.,Aprimoramento para armadura aprimorada. Instalado em luvas.\n\nConcede um bônus de proficiência com marreta ao usar um conjunto completo de armadura aprimorada.
modEnhancedKnuckles,item_modifiers,mod,,[FF6666]«Boost»[-] Knuckles,[FF6666]«Boost»[-] Knuckles
modEnhancedKnucklesDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to knuckle proficiency when wearing a full set of improved armor.,Aprimoramento para armadura aprimorada. Instalado em luvas.\n\nConcede um bônus de proficiência nos nós dos dedos ao usar um conjunto completo de armadura aprimorada.
modEnhancedKnife,item_modifiers,mod,,[FF6666]«Boost»[-] Knives and Machetes,[FF6666]«Boost»[-] Facas e Machetes
modEnhancedKnifeDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGives a bonus to knife and machete proficiency when wearing a full set of improved armor.,Aprimoramento para armadura aprimorada. Instalado em luvas.\n\nDá um bônus à proficiência com faca e facão ao usar um conjunto completo de armadura aprimorada.
modEnhancedStunBaton,item_modifiers,mod,,[FF6666]«Boost»[-] Stun Batons,[FF6666]«Boost»[-] Bastões de atordoamento
modEnhancedStunBatonDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to stun baton proficiency when wearing a full set of improved armor.,Aprimoramento para armadura aprimorada. Instalado em luvas.\n\nConcede um bônus de proficiência com bastão de atordoamento ao usar um conjunto completo de armadura aprimorada.
armorRogueHelmetImp,items,Clothes,,Rogue Hood [8692FF]Improved[-],Rogue Hood [8692FF]«Melhorado»[-]
armorRogueHelmetImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Hood. A true rogue always recognizes loot. You find more banknotes and dukes in loot. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt with bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura Leve\nUma versão melhorada do Rogue Hood. Um verdadeiro ladino sempre reconhece o saque. Você encontra mais notas e duques no saque. Agora você está melhor treinado em combate.\n\nBônus de conjunto completo: disponível [FF6666]Impulso de arma corpo a corpo[-] (instalado em luvas). Aumenta o dano causado por arcos e bestas.\n\n[DECEA3]O reparo requer kit de reparo (melhorado).[-]
armorRogueOutfitImp,items,Clothes,,Rogue Outfit [8692FF]Improved[-],Roupa Rogue [8692FF]«Melhorado»[-]
armorRogueOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's outfit. Heals wounds like a dog. Increases the speed of critical wound healing. You can now carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura Leve\nUma versão melhorada da roupa do Rogue. Cura feridas como um cachorro. Aumenta a velocidade de cicatrização de feridas críticas. Agora você pode carregar mais.\n\nBônus de conjunto completo: disponível [FF6666]Impulso de arma corpo a corpo[-] (instalado em luvas). Aumenta o dano causado por arcos e bestas.\n\n[DECEA3]O reparo requer kit de reparo (melhorado).[-]
armorRogueGlovesImp,items,Clothes,,Rogue Gloves [8692FF]Improved[-],Luvas Rogue [8692FF]«Melhoradas»[-]
armorRogueGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Gloves. Arrows and bolts do not slip out of your hands at an inopportune moment. Increased reload speed of bows and crossbows. You can install a boost to increase the attack speed of melee weapons.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura Leve\nUma versão melhorada das Rogue Gloves. Flechas e parafusos não escorregam de suas mãos em momentos inoportunos. Maior velocidade de recarga de arcos e bestas. Você pode instalar um reforço para aumentar a velocidade de ataque de armas corpo a corpo.\n\nBônus de conjunto completo: disponível [FF6666]Impulso de arma corpo a corpo[-] (instalado em luvas). Aumenta o dano causado por arcos e bestas.\n\n[DECEA3]O reparo requer kit de reparo (melhorado).[-]
armorRogueBootsImp,items,Clothes,,Rogue Shoes [8692FF]Improved[-],Rogue Shoes [8692FF]«Melhorado»[-]
armorRogueBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's Boots. Almost ninja-like. Less noise and faster movement in stealth. Much easier to maintain balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura Leve\nUma versão melhorada das Botas do Ladino. Quase como um ninja. Menos ruído e movimento mais rápido em modo furtivo. Muito mais fácil de manter o equilíbrio durante ataques corpo a corpo.\n\nBônus de conjunto completo: Disponível [FF6666]Impulso de arma corpo a corpo[-] (instalado em luvas). Aumenta o dano causado por arcos e bestas.\n\n[DECEA3]O reparo requer kit de reparo (melhorado).[-]
buffRogueImpSetBonus,buffs,Buff,,[8692FF]Rogue[-],[8692FF]Vampira[-]
buffRogueImpSetBonusName,buffs,buff,,Armor Bonus,Bônus de Armadura
buffRogueImpSetBonusTooltip,buffs,buff,,You are affected by the improved Rogue armor bonus.,Você é afetado pelo bônus aprimorado de armadura do Rogue.
buffRogueImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Rogue»[-] improved armor.\nBow and crossbow damage increased by [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-].","Você equipou um conjunto completo de armaduras aprimoradas [8692FF]«Rogue»[-].\nDano de arco e besta aumentado em [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. Ao aprimorar armas brancas: dano aumentado em [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], velocidade de ataque aumentada em [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], consumo de resistência reduzido em [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-]."
armorEnforcerHelmetImp,items,Clothes,,Enforcer Sunglasses [8692FF]Improved[-],Óculos de sol Enforcer [8692FF]«Melhorados»[-]
armorEnforcerHelmetImpDesc,items,Clothes,,"Light Armor\nAn improved version of the Enforcer Sunglasses. With these glasses, you can always negotiate a good price for your product. This increases the selling price. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Armadura Leve\nUma versão melhorada dos óculos de sol Enforcer. Com estes óculos, você sempre pode negociar um bom preço pelo seu produto. Isso aumenta o preço de venda. Agora você está melhor treinado em combate.\n\nBônus de conjunto completo: disponível [FF6666]Impulso de arma corpo a corpo[-] (instalado em luvas). Aumenta o dano da habilidade Pistoleiro.\n\n[DECEA3]O reparo requer kit de reparo (melhorado).[-]"
armorEnforcerOutfitImp,items,Clothes,,Enforcer Outfit [8692FF]Improved[-],Roupa do Executor [8692FF]«Melhorado»[-]
armorEnforcerOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Outfit. Stylish and lightweight materials mean you can withstand any impact. Increases resistance to critical injuries. Now you can carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura Leve\nUma versão melhorada do Enforcer Outfit. Materiais elegantes e leves significam que você pode suportar qualquer impacto. Aumenta a resistência a lesões críticas. Agora você pode carregar mais.\n\nBônus de conjunto completo: disponível [FF6666]Impulso de arma corpo a corpo[-] (instalado em luvas). Aumenta o dano da habilidade Pistoleiro.\n\n[DECEA3]O reparo requer kit de reparo (melhorado).[-]
armorEnforcerGlovesImp,items,Clothes,,Enforcer Gloves [8692FF]Improved[-],Luvas do Executor [8692FF]«Melhoradas»[-]
armorEnforcerGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Gloves. Gloves like these were worn back in the days of the Wild West. Increases reload speed for SMGs and pistols. You can install a boost to increase melee weapon attack speed.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura Leve\nUma versão melhorada das Luvas Enforcer. Luvas como essas eram usadas na época do Velho Oeste. Aumenta a velocidade de recarga de SMGs e pistolas. Você pode instalar um reforço para aumentar a velocidade de ataque de armas corpo a corpo.\n\nBônus de conjunto completo: disponível [FF6666]Aumento de armas corpo a corpo[-] (instalado em luvas). Aumenta o dano causado pela habilidade Pistoleiro.\n\n[DECEA3]O reparo requer kit de reparo (melhorado).[-]
armorEnforcerBootsImp,items,Clothes,,Enforcer Shoes [8692FF]Improved[-],Sapatos Enforcer [8692FF]«Melhorado»[-]
armorEnforcerBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Shoes.\nThese shoes will not soon become unusable. Increases stamina. It is much easier for you to maintain your balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura Leve\nUma versão melhorada dos Sapatos Enforcer.\nEsses sapatos não ficarão inutilizáveis ​​tão cedo. Aumenta a resistência. É muito mais fácil manter o equilíbrio durante ataques corpo a corpo.\n\nBônus de conjunto completo: Disponível [FF6666]Impulso de arma corpo a corpo[-] (instalado em luvas). Aumenta o dano da habilidade Pistoleiro.\n\n[DECEA3]O reparo requer kit de reparo (melhorado).[-]
buffEnforcerImpSetBonus,buffs,Buff,,[8692FF]Enforcer[-],[8692FF]Aplicador[-]
buffEnforcerImpSetBonusName,buffs,buff,,Armor Bonus,Bônus de Armadura
buffEnforcerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Enforcer armor bonus.,Você é afetado pelo bônus aprimorado de armadura do Enforcer.
buffEnforcerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Enforcer»[-] improved Armor\nSMG and pistol damage increased by [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-].","Você equipou um conjunto completo de [8692FF]«Enforcer»[-] armadura melhorada\nSMG e dano de pistola aumentado em [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. Ao aprimorar armas brancas: dano aumentado em [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], velocidade de ataque aumentada em [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], consumo de resistência reduzido em [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-]."
armorRangerHelmetImp,items,Clothes,,Ranger Helmet [8692FF]Improved[-],Capacete de Ranger [8692FF]«Melhorado»[-]
armorRangerHelmetImpDesc,items,Clothes,,"Medium Armor\nImproved version of the Ranger Hat. Rangers are fierce negotiators, especially when wearing a well-made hat. Increases the profitability of trade deals. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Armadura Média\nVersão melhorada do Chapéu de Ranger. Os Rangers são negociadores ferozes, especialmente quando usam um chapéu bem feito. Aumenta a lucratividade dos negócios comerciais. Agora você está melhor treinado em combate.\n\n[DECEA3]Bônus de conjunto completo:[-]\n[FF6666]Impulso de arma corpo a corpo[-] disponível (instalado em luvas). Aumenta o dano causado por armas de longo alcance.\n\n[DECEA3]O reparo requer kit de reparo (melhorado).[-]"
armorRangerOutfitImp,items,Clothes,,Ranger Outfit [8692FF]Improved[-],Roupa de Ranger [8692FF]«Melhorado»[-]
armorRangerOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Ranger Outfit. Nature has taught strength not only of the spirit, but also of the body. Increases the number of health units, as well as your load capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Armadura Média\nUma versão melhorada do Traje Ranger. A natureza ensinou a força não só do espírito, mas também do corpo. Aumenta o número de unidades de saúde, bem como sua capacidade de carga.\n\n[DECEA3]Bônus de conjunto completo:[-]\n[FF6666]Impulso de arma corpo a corpo[-] disponível (instalado em luvas). Aumenta o dano causado por armas de longo alcance.\n\n[DECEA3]O reparo requer kit de reparo (melhorado).[-]"
armorRangerGlovesImp,items,Clothes,,Ranger Gloves [8692FF]Improved[-],Luvas de Ranger [8692FF]«Melhoradas»[-]
armorRangerGlovesImpDesc,items,Clothes,,Medium Armor\nImproved version of the Ranger's Gloves. These comfortable gloves allow you to quickly handle any weapon. Increases weapon reload speed. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura Média\nVersão melhorada das Luvas do Ranger. Estas luvas confortáveis ​​permitem manusear rapidamente qualquer arma. Aumenta a velocidade de recarga da arma. Você pode instalar um reforço para aumentar a velocidade de ataque de armas corpo a corpo.\n\n[DECEA3]Bônus de conjunto completo:[-]\n[FF6666]Aumento de arma corpo a corpo[-] disponível (instalado em luvas). Aumenta o dano causado por armas de longo alcance.\n\n[DECEA3]O reparo requer kit de reparo (melhorado).[-]
armorRangerBootsImp,items,Clothes,,Ranger Boots [8692FF]Improved[-],Botas de Ranger [8692FF]«Melhoradas»[-]
armorRangerBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Ranger's Boots. Stamina is the key to successful survival in the wilderness. Increases your stamina. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura Média\nUma versão melhorada das Botas do Ranger. A resistência é a chave para uma sobrevivência bem-sucedida na selva. Aumenta sua resistência. É muito mais fácil manter o equilíbrio durante ataques corpo a corpo.\n\n[DECEA3]Bônus de conjunto completo:[-]\n[FF6666]Impulso de arma corpo a corpo[-] disponível (instalado em luvas). Aumenta o dano causado por armas de longo alcance.\n\n[DECEA3]O reparo requer kit de reparo (melhorado).[-]
buffRangerImpSetBonus,buffs,Buff,,[8692FF]Ranger[-],[8692FF]Ranger[-]
buffRangerImpSetBonusName,buffs,buff,,Armor Bonus,Bônus de Armadura
buffRangerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Ranger armor bonus.,Você é afetado pelo bônus aprimorado de armadura do Ranger.
buffRangerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Ranger»[-] improved Armor\nRanged weapon damage increased by [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-].","Você equipou um conjunto completo de [8692FF]«Ranger»[-] Armadura aprimorada\nDano de arma de longo alcance aumentado em [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. Ao aprimorar armas brancas: dano aumentado em [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], velocidade de ataque aumentada em [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], consumo de resistência reduzido em [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-]."
armorCommandoHelmetImp,items,Clothes,,Commando Helmet [8692FF]Improved[-],Capacete de Comando [8692FF]«Melhorado»[-]
armorCommandoHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces Helmet. Health regeneration rate has been increased. You are now better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura Média\nUma versão melhorada do Capacete das Forças Especiais. A taxa de regeneração de saúde foi aumentada. Agora você está melhor treinado em combate.\n\n[DECEA3]Bônus de conjunto completo:[-]\n[FF6666]Impulso de arma corpo a corpo[-] disponível (instalado em luvas). Aumenta o dano causado por armas automáticas.\n\n[DECEA3]O reparo requer kit de reparo (melhorado).[-]
armorCommandoOutfitImp,items,Clothes,,Commando Outfit [8692FF]Improved[-],Roupa de Comando [8692FF]«Melhorado»[-]
armorCommandoOutfitImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces uniform. True Special Forces can take any hit without flinching. Faster recovery from critical injuries.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura Média\nUma versão melhorada do uniforme das Forças Especiais. As verdadeiras Forças Especiais podem suportar qualquer golpe sem vacilar. Recuperação mais rápida de ferimentos graves.\n\n[DECEA3]Bônus de conjunto completo:[-]\n[FF6666]Impulso de arma corpo a corpo[-] disponível (instalado em luvas). Aumenta o dano causado por armas automáticas.\n\n[DECEA3]O reparo requer kit de reparo (melhorado).[-]
armorCommandoGlovesImp,items,Clothes,,Commando Gloves [8692FF]Improved[-],Luvas de Comando [8692FF]«Melhoradas»[-]
armorCommandoGlovesImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Commando Gloves. A good marksman can easily disassemble and reassemble his weapon, and the reloading process has been perfected. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Armadura Média\nUma versão melhorada das Luvas de Comando. Um bom atirador pode facilmente desmontar e remontar sua arma, e o processo de recarga foi aperfeiçoado. Você pode instalar um reforço para aumentar a velocidade de ataque de armas corpo a corpo.\n\n[DECEA3]Bônus de conjunto completo:[-]\n[FF6666]Aumento de arma corpo a corpo[-] disponível (instalado em luvas). Aumenta o dano causado por armas automáticas.\n\n[DECEA3]O reparo requer kit de reparo (melhorado).[-]"
armorCommandoBootsImp,items,Clothes,,Commando Boots [8692FF]Improved[-],Botas de Comando [8692FF]«Melhoradas»[-]
armorCommandoBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces boots. These boots are suitable for the most difficult obstacle course. Increases the safe fall height. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura Média\nUma versão melhorada das botas das Forças Especiais. Estas botas são adequadas para os percursos de obstáculos mais difíceis. Aumenta a altura de queda segura. É muito mais fácil manter o equilíbrio durante ataques corpo a corpo.\n\n[DECEA3]Bônus de conjunto completo:[-]\n[FF6666]Impulso de arma corpo a corpo[-] disponível (instalado em luvas). Aumenta o dano causado por armas automáticas.\n\n[DECEA3]O reparo requer kit de reparo (melhorado).[-]
buffCommandoImpSetBonus,buffs,Buff,,[8692FF]Commando[-],[8692FF]Comando[-]
buffCommandoImpSetBonusName,buffs,buff,,Armor Bonus,Bônus de Armadura
buffCommandoImpSetBonusTooltip,buffs,buff,,You are affected by the improved Commando armor bonus.,Você é afetado pelo bônus aprimorado da armadura do Comando.
buffCommandoImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Commando»[-] improved Armor\nAutomatic weapon damage increased by [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-].","Você equipou um conjunto completo de [8692FF]«Comando»[-] Armadura aprimorada\nDano de arma automática aumentado em [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]. Ao aprimorar armas brancas: dano aumentado em [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-], velocidade de ataque aumentada em [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-], consumo de resistência reduzido em [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-]."
armorAssassinHelmetImp,items,Clothes,,Assassin Helmet [8692FF]Improved[-],Capacete de Assassino [8692FF]«Melhorado»[-]
armorAssassinHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Assassin Hood. They won't even notice. Increases damage while stealthed. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura Média\nUma versão melhorada do Assassin Hood. Eles nem vão notar. Aumenta o dano enquanto estiver furtivo. Agora você está melhor treinado em combate.\n\n[DECEA3]Bônus de conjunto completo:[-]\n[FF6666]Impulso de arma corpo a corpo[-] disponível (instalado em luvas). Aumenta o dano causado por rifles de precisão.\n\n[DECEA3]O reparo requer kit de reparo (melhorado).[-]
armorAssassinOutfitImp,items,Clothes,,Assassin Outfit [8692FF]Improved[-],Roupa de Assassino [8692FF]«Melhorado»[-]
armorAssassinOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Assassin Outfit. Be unseen, unheard, and unharmed. Increases your effectiveness while in stealth mode and your carrying capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Armadura Média\nUma versão melhorada do Traje Assassino. Seja invisível, não ouvido e ileso. Aumenta sua eficácia no modo furtivo e sua capacidade de carga.\n\n[DECEA3]Bônus de conjunto completo:[-]\n[FF6666]Impulso de arma corpo a corpo[-] disponível (instalado em luvas). Aumenta o dano causado por rifles de precisão.\n\n[DECEA3]O reparo requer kit de reparo (melhorado).[-]"
armorAssassinGlovesImp,items,Clothes,,Assassin Gloves [8692FF]Improved[-],Luvas de Assassino [8692FF]«Melhoradas»[-]
