Key,Source,Context,Changes,English,Japanese
modEnhancedClub,item_modifiers,mod,,[FF6666]«Boost»[-] Clubs,[FF6666]«ブースト»[-] クラブ
modEnhancedClubDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to club proficiency when wearing a full set of improved armor.,改良された装甲のための強化。手袋に取り付けられます。\n\n改良された防具のフルセットを着用すると、クラブの熟練度にボーナスが与えられます。
modEnhancedSledgehammer,item_modifiers,mod,,[FF6666]«Boost»[-] Sledgehammers,[FF6666]«ブースト»[-]スレッジハンマー
modEnhancedSledgehammerDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to sledgehammer proficiency when wearing a full set of improved armor.,改良された装甲のための強化。手袋に取り付けられます。\n\n改良された鎧のフルセットを着用すると、スレッジハンマーの熟練度にボーナスが与えられます。
modEnhancedKnuckles,item_modifiers,mod,,[FF6666]«Boost»[-] Knuckles,[FF6666]«ブースト»[-] ナックル
modEnhancedKnucklesDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to knuckle proficiency when wearing a full set of improved armor.,改良された装甲のための強化。手袋に取り付けられます。\n\n改良されたアーマーのフルセットを着用すると、ナックル熟練度にボーナスが与えられます。
modEnhancedKnife,item_modifiers,mod,,[FF6666]«Boost»[-] Knives and Machetes,[FF6666]«ブースト»[-] ナイフとマチェーテ
modEnhancedKnifeDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGives a bonus to knife and machete proficiency when wearing a full set of improved armor.,改良された装甲のための強化。手袋に取り付けられます。\n\n改良された鎧のフルセットを着用すると、ナイフとマチェーテの熟練度にボーナスが与えられます。
modEnhancedStunBaton,item_modifiers,mod,,[FF6666]«Boost»[-] Stun Batons,[FF6666]«ブースト»[-] スタンバトン
modEnhancedStunBatonDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to stun baton proficiency when wearing a full set of improved armor.,改良された装甲のための強化。手袋に取り付けられます。\n\n改良されたアーマーのフルセットを着用すると、スタンバトンの熟練度にボーナスが付与されます。
armorRogueHelmetImp,items,Clothes,,Rogue Hood [8692FF]Improved[-],ローグフード[8692FF]«改良版»[-]
armorRogueHelmetImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Hood. A true rogue always recognizes loot. You find more banknotes and dukes in loot. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt with bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],ライトアーマー\nローグ フッドの改良版。真の悪党は常に戦利品を認識します。戦利品でさらに多くの紙幣と公爵を見つけます。これで、戦闘の訓練がさらに深まりました。\n\nフルセット ボーナス: [FF6666]近接武器ブースト[-]が利用可能(手袋にインストール)。弓とクロスボウで与えられるダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
armorRogueOutfitImp,items,Clothes,,Rogue Outfit [8692FF]Improved[-],ローグの衣装[8692FF]«改善されました»[-]
armorRogueOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's outfit. Heals wounds like a dog. Increases the speed of critical wound healing. You can now carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],ライトアーマー\nローグの服装の改良版。犬のように傷を癒します。重大な傷の治癒速度が向上します。さらに多くのアイテムを持ち運べるようになりました。\n\nフルセットボーナス: [FF6666]近接武器ブースト[-]が利用可能(手袋にインストール)。弓とクロスボウが与えるダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
armorRogueGlovesImp,items,Clothes,,Rogue Gloves [8692FF]Improved[-],ローググローブ[8692FF]«改良版»[-]
armorRogueGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Gloves. Arrows and bolts do not slip out of your hands at an inopportune moment. Increased reload speed of bows and crossbows. You can install a boost to increase the attack speed of melee weapons.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],ライトアーマー\nローグ グローブの改良版。矢やボルトが不用意な瞬間に手から滑り落ちることはありません。弓とクロスボウのリロード速度が増加しました。ブーストをインストールすると、近接武器の攻撃速度を上げることができます。\n\nフルセット ボーナス: [FF6666]近接武器ブースト[-]が利用可能(手袋にインストール)。弓とクロスボウが与えるダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
armorRogueBootsImp,items,Clothes,,Rogue Shoes [8692FF]Improved[-],ローグシューズ[8692FF]«改良版»[-]
armorRogueBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's Boots. Almost ninja-like. Less noise and faster movement in stealth. Much easier to maintain balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],ライトアーマー\nローグのブーツの改良版。ほぼ忍者っぽい。騒音が少なくなり、ステルス状態での動きが速くなります。近接攻撃中にバランスを維持するのがはるかに簡単になります。\n\nフルセットボーナス: 利用可能な[FF6666]近接武器ブースト[-] (手袋にインストール)。弓とクロスボウが与えるダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
buffRogueImpSetBonus,buffs,Buff,,[8692FF]Rogue[-],[8692FF]ローグ[-]
buffRogueImpSetBonusName,buffs,buff,,Armor Bonus,アーマーボーナス
buffRogueImpSetBonusTooltip,buffs,buff,,You are affected by the improved Rogue armor bonus.,改善されたローグ アーマー ボーナスの影響を受けます。
buffRogueImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Rogue»[-] improved armor.\nBow and crossbow damage increased by [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-].",[8692FF]«ローグ»[-]の改良された防具のフルセットを装備しました。\n弓とクロスボウのダメージが[DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]増加しました。近接武器を強化する場合: ダメージが [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-] 増加し、攻撃速度が [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-] 増加し、スタミナ消費が 50%[-]減少します。 [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-]。
armorEnforcerHelmetImp,items,Clothes,,Enforcer Sunglasses [8692FF]Improved[-],エンフォーサー サングラス [8692FF]«改良版»[-]
armorEnforcerHelmetImpDesc,items,Clothes,,"Light Armor\nAn improved version of the Enforcer Sunglasses. With these glasses, you can always negotiate a good price for your product. This increases the selling price. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-]",ライトアーマー\nエンフォーサー サングラスの改良版。これらのメガネを使用すると、いつでも製品の適切な価格を交渉できます。これにより販売価格が上昇します。これで、戦闘の訓練がさらに深まりました。\n\nフルセット ボーナス: [FF6666]近接武器ブースト[-]が利用可能(手袋にインストール)。ガンスリンガー アビリティのダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
armorEnforcerOutfitImp,items,Clothes,,Enforcer Outfit [8692FF]Improved[-],執行者の衣装[8692FF]«改善されました»[-]
armorEnforcerOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Outfit. Stylish and lightweight materials mean you can withstand any impact. Increases resistance to critical injuries. Now you can carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],ライトアーマー\nエンフォーサーの衣装の改良版。スタイリッシュで軽量な素材なので、どんな衝撃にも耐えられます。致命傷に対する耐性が増加します。さらに多くの物を持ち運べるようになりました。\n\nフルセットボーナス: [FF6666]近接武器ブースト[-]が利用可能(手袋にインストール)。ガンスリンガー アビリティのダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
armorEnforcerGlovesImp,items,Clothes,,Enforcer Gloves [8692FF]Improved[-],エンフォーサーグローブ[8692FF]«改良版»[-]
armorEnforcerGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Gloves. Gloves like these were worn back in the days of the Wild West. Increases reload speed for SMGs and pistols. You can install a boost to increase melee weapon attack speed.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],ライトアーマー\nエンフォーサー グローブの改良版。このような手袋は西部開拓時代に着用されていました。 SMG とピストルのリロード速度が向上します。ブーストをインストールすると、近接武器の攻撃速度を上げることができます。\n\nフルセット ボーナス: [FF6666]近接武器ブースト[-]が利用可能(手袋にインストール)。ガンスリンガー アビリティによって与えられるダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
armorEnforcerBootsImp,items,Clothes,,Enforcer Shoes [8692FF]Improved[-],エンフォーサーシューズ[8692FF]«改良版»[-]
armorEnforcerBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Shoes.\nThese shoes will not soon become unusable. Increases stamina. It is much easier for you to maintain your balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],ライトアーマー\nエンフォーサー シューズの改良版。\nこれらの靴はすぐに使用できなくなることはありません。スタミナが増加します。近接攻撃中にバランスを維持するのがはるかに簡単になります。\n\nフルセットボーナス: 利用可能な[FF6666]近接武器ブースト[-] (手袋にインストール)。ガンスリンガー アビリティのダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
buffEnforcerImpSetBonus,buffs,Buff,,[8692FF]Enforcer[-],[8692FF]執行者[-]
buffEnforcerImpSetBonusName,buffs,buff,,Armor Bonus,アーマーボーナス
buffEnforcerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Enforcer armor bonus.,強化されたエンフォーサーアーマーボーナスの影響を受けます。
buffEnforcerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Enforcer»[-] improved Armor\nSMG and pistol damage increased by [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-].",[8692FF]«Enforcer»[-]改良されたアーマーのフルセットを装備しました\nSMGとピストルのダメージが[DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]増加しました。近接武器を強化する場合: ダメージが [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-] 増加し、攻撃速度が [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-] 増加し、スタミナ消費が 50%[-]減少します。 [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-]。
armorRangerHelmetImp,items,Clothes,,Ranger Helmet [8692FF]Improved[-],レンジャーヘルメット[8692FF]«改良版»[-]
armorRangerHelmetImpDesc,items,Clothes,,"Medium Armor\nImproved version of the Ranger Hat. Rangers are fierce negotiators, especially when wearing a well-made hat. Increases the profitability of trade deals. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]",中装甲\nレンジャー ハットの改良版。レンジャーは、特によくできた帽子をかぶった場合、激しい交渉人になります。貿易取引の収益性を高めます。これで、戦闘の訓練がさらに深まりました。\n\n[DECEA3]フルセットボーナス：[-]\n[FF6666]近接武器ブースト[-]が利用可能です（手袋にインストールされています）。遠距離武器によって与えられるダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
armorRangerOutfitImp,items,Clothes,,Ranger Outfit [8692FF]Improved[-],レンジャーの衣装[8692FF]«改善されました»[-]
armorRangerOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Ranger Outfit. Nature has taught strength not only of the spirit, but also of the body. Increases the number of health units, as well as your load capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]",中装甲\nレンジャー衣装の改良版。自然は精神だけでなく体の強さも教えてくれました。体力ユニットの数と積載量が増加します。\n\n[DECEA3]フルセットボーナス：[-]\n[FF6666]近接武器ブースト[-]が利用可能です（手袋にインストールされています）。遠距離武器によって与えられるダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
armorRangerGlovesImp,items,Clothes,,Ranger Gloves [8692FF]Improved[-],レンジャーグローブ[8692FF]«改良版»[-]
armorRangerGlovesImpDesc,items,Clothes,,Medium Armor\nImproved version of the Ranger's Gloves. These comfortable gloves allow you to quickly handle any weapon. Increases weapon reload speed. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],中装甲\nレンジャー グローブの改良版。この快適な手袋を使用すると、どんな武器でも素早く扱うことができます。武器のリロード速度が増加します。ブーストをインストールすると、近接武器の攻撃速度を上げることができます。\n\n[DECEA3]フルセット ボーナス:[-]\n[FF6666]近接武器ブースト[-]が利用可能です(手袋にインストール)。遠距離武器によって与えられるダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
armorRangerBootsImp,items,Clothes,,Ranger Boots [8692FF]Improved[-],レンジャーブーツ [8692FF]«改良版»[-]
armorRangerBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Ranger's Boots. Stamina is the key to successful survival in the wilderness. Increases your stamina. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],中装甲\nレンジャーブーツの改良版。スタミナは荒野で生き残るための鍵です。スタミナが増加します。近接攻撃中にバランスを維持するのがはるかに簡単になります。\n\n[DECEA3]フルセットボーナス：[-]\n[FF6666]近接武器ブースト[-]が利用可能です（手袋にインストールされています）。遠距離武器によって与えられるダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
buffRangerImpSetBonus,buffs,Buff,,[8692FF]Ranger[-],[8692FF]レンジャー[-]
buffRangerImpSetBonusName,buffs,buff,,Armor Bonus,アーマーボーナス
buffRangerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Ranger armor bonus.,改良されたレンジャーアーマーボーナスの影響を受けます。
buffRangerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Ranger»[-] improved Armor\nRanged weapon damage increased by [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-].",[8692FF]«レンジャー»[-]の改良されたアーマーのフルセットを装備しました\n遠距離武器のダメージが[DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]増加しました。近接武器を強化する場合: ダメージが [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-] 増加し、攻撃速度が [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-] 増加し、スタミナ消費が 5 減少します。 [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-]。
armorCommandoHelmetImp,items,Clothes,,Commando Helmet [8692FF]Improved[-],コマンドーヘルメット[8692FF]«改良版»[-]
armorCommandoHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces Helmet. Health regeneration rate has been increased. You are now better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],中装甲\n特殊部隊ヘルメットの改良版。体力の回復率が増加しました。戦闘の訓練がさらに深まりました。\n\n[DECEA3]フルセット ボーナス:[-]\n[FF6666]近接武器ブースト[-]が利用可能です（手袋にインストールされています）。自動小銃が与えるダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
armorCommandoOutfitImp,items,Clothes,,Commando Outfit [8692FF]Improved[-],コマンドーの衣装[8692FF]«改善されました»[-]
armorCommandoOutfitImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces uniform. True Special Forces can take any hit without flinching. Faster recovery from critical injuries.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],中装甲\n特殊部隊の制服の改良版。真の特殊部隊は、どんな攻撃にも怯むことなく耐えることができます。重傷からの回復が早くなります。\n\n[DECEA3]フルセットボーナス：[-]\n[FF6666]近接武器ブースト[-]が利用可能（手袋にインストール）。自動小銃が与えるダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
armorCommandoGlovesImp,items,Clothes,,Commando Gloves [8692FF]Improved[-],コマンドーグローブ[8692FF]«改良版»[-]
armorCommandoGlovesImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Commando Gloves. A good marksman can easily disassemble and reassemble his weapon, and the reloading process has been perfected. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]",中装甲\nコマンドー グローブの改良版。優れた射撃手であれば、武器を簡単に分解して再組み立てすることができ、リロードのプロセスも完璧です。ブーストをインストールすると、近接武器の攻撃速度を上げることができます。\n\n[DECEA3]フルセット ボーナス:[-]\n[FF6666]近接武器ブースト[-]が利用可能です(手袋にインストール)。自動小銃が与えるダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
armorCommandoBootsImp,items,Clothes,,Commando Boots [8692FF]Improved[-],コマンドーブーツ[8692FF]«改良版»[-]
armorCommandoBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces boots. These boots are suitable for the most difficult obstacle course. Increases the safe fall height. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],中装甲\n特殊部隊のブーツの改良版。このブーツは最も困難な障害物コースに適しています。安全な落下高さを高めます。近接攻撃中にバランスを維持するのがはるかに簡単になります。\n\n[DECEA3]フルセットボーナス：[-]\n[FF6666]近接武器ブースト[-]が利用可能です（手袋にインストールされています）。自動小銃が与えるダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
buffCommandoImpSetBonus,buffs,Buff,,[8692FF]Commando[-],[8692FF]コマンドー[-]
buffCommandoImpSetBonusName,buffs,buff,,Armor Bonus,アーマーボーナス
buffCommandoImpSetBonusTooltip,buffs,buff,,You are affected by the improved Commando armor bonus.,あなたは改良されたコマンドーアーマーボーナスの影響を受けます。
buffCommandoImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Commando»[-] improved Armor\nAutomatic weapon damage increased by [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-].",[8692FF]«Commando»[-]改良されたアーマーのフルセットを装備しました\n自動武器ダメージが[DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]増加しました。近接武器を強化する場合: ダメージが [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-] 増加し、攻撃速度が [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-] 増加し、スタミナ消費が 50%[-]減少します。 [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-]。
armorAssassinHelmetImp,items,Clothes,,Assassin Helmet [8692FF]Improved[-],アサシンヘルメット[8692FF]«改良版»[-]
armorAssassinHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Assassin Hood. They won't even notice. Increases damage while stealthed. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-],中装甲\nアサシン フードの改良版。彼らは気付かないだろう。ステルス中のダメージが増加します。これで、戦闘の訓練がさらに深まりました。\n\n[DECEA3]フルセットボーナス：[-]\n[FF6666]近接武器ブースト[-]が利用可能です（手袋にインストールされています）。スナイパーライフルによるダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
armorAssassinOutfitImp,items,Clothes,,Assassin Outfit [8692FF]Improved[-],暗殺者の衣装[8692FF]«改善されました»[-]
armorAssassinOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Assassin Outfit. Be unseen, unheard, and unharmed. Increases your effectiveness while in stealth mode and your carrying capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-]",中装甲\n暗殺者の衣装の改良版。見られず、聞かれず、傷つけられないでください。ステルス モード中の効果と運搬能力が向上します。\n\n[DECEA3]フルセット ボーナス:[-]\n[FF6666]近接武器ブースト[-]が利用可能です(手袋にインストール)。スナイパーライフルによるダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
armorAssassinGlovesImp,items,Clothes,,Assassin Gloves [8692FF]Improved[-],アサシングローブ[8692FF]«改良版»[-]
armorAssassinGlovesImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Assassin Gloves. Silent - but very fast. Increases the rate of fire and reload speed of sniper rifles. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-],中装甲\nアサシン グローブの改良版。静かですが、非常に速いです。スナイパーライフルの連射速度とリロード速度が向上します。ブーストをインストールすると、近接武器の攻撃速度を上げることができます。\n\n[DECEA3]フルセット ボーナス:[-]\n[FF6666]近接武器ブースト[-]が利用可能です(手袋にインストール)。スナイパーライフルによるダメージが増加します。\n\n[DECEA3]修理には修理キット（改良版）が必要です。[-]
armorAssassinBootsImp,items,Clothes,,Assassin Boots [8692FF]Improved[-],アサシンブーツ[8692FF]«改良版»[-]
