Key,Source,Context,Changes,English,Spanish
modEnhancedSpearDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to spear proficiency when wearing a full set of improved armor.,Mejora para armadura mejorada. Instalada en los guantes.\n\nOtorga una bonificación a la competencia con lanzas al llevar un conjunto completo de armadura mejorada.
modEnhancedClub,item_modifiers,mod,,[FF6666]«Boost»[-] Clubs,[FF6666]Mejora[-] Garrotes
modEnhancedClubDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to club proficiency when wearing a full set of improved armor.,Mejora para armadura mejorada. Instalada en los guantes.\n\nOtorga una bonificación a la competencia con garrotes al llevar un conjunto completo de armadura mejorada.
modEnhancedSledgehammer,item_modifiers,mod,,[FF6666]«Boost»[-] Sledgehammers,[FF6666]Mejora[-] Mazas
modEnhancedSledgehammerDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to sledgehammer proficiency when wearing a full set of improved armor.,Mejora para armadura mejorada. Instalada en los guantes.\n\nOtorga una bonificación a la competencia con mazas al llevar un conjunto completo de armadura mejorada.
modEnhancedKnuckles,item_modifiers,mod,,[FF6666]«Boost»[-] Knuckles,[FF6666]Mejora[-] Nudillos
modEnhancedKnucklesDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to knuckle proficiency when wearing a full set of improved armor.,Mejora para armadura mejorada. Instalada en los guantes.\n\nOtorga una bonificación a la competencia con nudillos al llevar un conjunto completo de armadura mejorada.
modEnhancedKnife,item_modifiers,mod,,[FF6666]«Boost»[-] Knives and Machetes,[FF6666]Mejora[-] Cuchillos y machetes
modEnhancedKnifeDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGives a bonus to knife and machete proficiency when wearing a full set of improved armor.,Mejora para armadura mejorada. Instalada en los guantes.\n\nOtorga una bonificación a la competencia con cuchillos y machetes al llevar un conjunto completo de armadura mejorada.
modEnhancedStunBaton,item_modifiers,mod,,[FF6666]«Boost»[-] Stun Batons,[FF6666]Mejora[-] Porras eléctricas
modEnhancedStunBatonDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to stun baton proficiency when wearing a full set of improved armor.,Mejora para armadura mejorada. Instalada en los guantes.\n\nOtorga una bonificación al dominio de las porras eléctricas al llevar un conjunto completo de armadura mejorada.
armorRogueHelmetImp,items,Clothes,,Rogue Hood [8692FF]Improved[-],[8692FF]Capucha de Pícaro Mejorada[-]
armorRogueHelmetImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Hood. A true rogue always recognizes loot. You find more banknotes and dukes in loot. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt with bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura ligera\nUna versión mejorada de la Capucha de Pícaro. Un verdadero pícaro siempre reconoce el botín. Encuentras más billetes y ducados en el botín. Ahora estás mejor entrenado en combate.\n\nBonificación de conjunto completo: Disponible [FF6666]Mejora de arma de cuerpo a cuerpo[-] (instalada en los guantes). Aumenta el daño infligido con arcos y ballestas.\n\n[DECEA3]Para su reparación se requiere un kit de reparación mejorado.[-]
armorRogueOutfitImp,items,Clothes,,Rogue Outfit [8692FF]Improved[-],[8692FF]Atuendo de Pícaro Mejorado[-]
armorRogueOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's outfit. Heals wounds like a dog. Increases the speed of critical wound healing. You can now carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura ligera\nUna versión mejorada del Atuendo de Pícaro. Las heridas sanan como las de un perro. Aumenta la velocidad de curación de heridas críticas y tu capacidad de carga.\n\nBonificación de conjunto completo: Disponible [FF6666]Mejora de arma de cuerpo a cuerpo[-] (instalada en los guantes). Aumenta el daño infligido por arcos y ballestas.\n\n[DECEA3]Para su reparación se requiere un kit de reparación mejorado.[-]
armorRogueGlovesImp,items,Clothes,,Rogue Gloves [8692FF]Improved[-],[8692FF]Guantes de Pícaro Mejorados[-]
armorRogueGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Gloves. Arrows and bolts do not slip out of your hands at an inopportune moment. Increased reload speed of bows and crossbows. You can install a boost to increase the attack speed of melee weapons.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura ligera\nUna versión mejorada de los Guantes de Pícaro. Las flechas y virotes no se te escapan de las manos en un momento inoportuno. Aumenta la velocidad de recarga de arcos y ballestas. Puedes instalar una mejora para aumentar la velocidad de ataque de las armas de cuerpo a cuerpo.\n\nBonificación de conjunto completo: Disponible [FF6666]Mejora de arma de cuerpo a cuerpo[-] (instalada en los guantes). Aumenta el daño infligido por arcos y ballestas.\n\n[DECEA3]Para su reparación se requiere un kit de reparación mejorado.[-]
armorRogueBootsImp,items,Clothes,,Rogue Shoes [8692FF]Improved[-],[8692FF]Zapatos de Pícaro Mejorados[-]
armorRogueBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's Boots. Almost ninja-like. Less noise and faster movement in stealth. Much easier to maintain balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura ligera\nUna versión mejorada de las Botas del Pícaro. Casi como un ninja. Menos ruido y mayor velocidad en sigilo. Es mucho más fácil mantener el equilibrio durante los ataques cuerpo a cuerpo.\n\nBonificación de conjunto completo: Disponible [FF6666]Mejora de arma de cuerpo a cuerpo[-] (instalada en los guantes). Aumenta el daño infligido por arcos y ballestas.\n\n[DECEA3]Para su reparación se requiere un kit de reparación mejorado.[-]
buffRogueImpSetBonus,buffs,Buff,,[8692FF]Rogue[-],[8692FF]Pícaro[-]
buffRogueImpSetBonusName,buffs,buff,,Armor Bonus,Bonificación de armadura
buffRogueImpSetBonusTooltip,buffs,buff,,You are affected by the improved Rogue armor bonus.,Te afecta la bonificación de la armadura mejorada de [8692FF]Pícaro[-].
buffRogueImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Rogue»[-] improved armor.\nBow and crossbow damage increased by [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-].","Has equipado un conjunto completo de armadura mejorada de [8692FF]Pícaro[-].\nDaño de arcos y ballestas aumentado en un [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. Al mejorar las armas de cuerpo a cuerpo: daño aumentado en un [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], velocidad de ataque aumentada en un [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], consumo de resistencia reducido en un [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-]."
armorEnforcerHelmetImp,items,Clothes,,Enforcer Sunglasses [8692FF]Improved[-],[8692FF]Gafas de sol de Justiciero Mejoradas[-]
armorEnforcerHelmetImpDesc,items,Clothes,,"Light Armor\nAn improved version of the Enforcer Sunglasses. With these glasses, you can always negotiate a good price for your product. This increases the selling price. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Armadura ligera\nUna versión mejorada de las Gafas de sol de Justiciero. Con estas gafas, siempre puedes negociar un buen precio para tu producto. Aumenta el precio de venta. Ahora estás mejor entrenado en combate.\n\nBonificación de conjunto completo: Disponible [FF6666]Mejora de arma de cuerpo a cuerpo[-] (instalada en los guantes). Aumenta el daño de la habilidad Pistolero.\n\n[DECEA3]Para su reparación se requiere un kit de reparación mejorado.[-]"
armorEnforcerOutfitImp,items,Clothes,,Enforcer Outfit [8692FF]Improved[-],[8692FF]Atuendo de Justiciero Mejorado[-]
armorEnforcerOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Outfit. Stylish and lightweight materials mean you can withstand any impact. Increases resistance to critical injuries. Now you can carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura ligera\nUna versión mejorada del Atuendo de Justiciero. Los materiales elegantes y ligeros significan que puedes soportar cualquier impacto. Aumenta la resistencia a lesiones críticas. Ahora puedes llevar más.\n\nBonificación de conjunto completo: Disponible [FF6666]Mejora de arma de cuerpo a cuerpo[-] (instalada en los guantes). Aumenta el daño de la habilidad Pistolero.\n\n[DECEA3]Para su reparación se requiere un kit de reparación mejorado.[-]
armorEnforcerGlovesImp,items,Clothes,,Enforcer Gloves [8692FF]Improved[-],[8692FF]Guantes de Justiciero Mejorados[-]
armorEnforcerGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Gloves. Gloves like these were worn back in the days of the Wild West. Increases reload speed for SMGs and pistols. You can install a boost to increase melee weapon attack speed.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura ligera\nUna versión mejorada de los Guantes de Ejecutor. Guantes como estos se usaban en los días del Viejo Oeste. Aumenta la velocidad de recarga de subfusiles y pistolas. Puedes instalar una mejora para aumentar la velocidad de ataque de las armas de cuerpo a cuerpo.\n\nBonificación de conjunto completo: Disponible [FF6666]Mejora de arma de cuerpo a cuerpo[-] (instalada en los guantes). Aumenta el daño infligido por la habilidad Pistolero.\n\n[DECEA3]Para su reparación se requiere un kit de reparación mejorado.[-]
armorEnforcerBootsImp,items,Clothes,,Enforcer Shoes [8692FF]Improved[-],[8692FF]Zapatos de Justiciero Mejorados[-]
armorEnforcerBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Shoes.\nThese shoes will not soon become unusable. Increases stamina. It is much easier for you to maintain your balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura ligera\nUna versión mejorada de los Zapatos de Justiciero. Estos zapatos no quedarán inservibles pronto. Aumenta la resistencia. Es mucho más fácil mantener el equilibrio durante los ataques cuerpo a cuerpo.\n\nBonificación de conjunto completo: Disponible [FF6666]Mejora de arma de cuerpo a cuerpo[-] (instalada en los guantes). Aumenta el daño de la habilidad Pistolero.\n\n[DECEA3]Para su reparación se requiere un kit de reparación mejorado.[-]
buffEnforcerImpSetBonus,buffs,Buff,,[8692FF]Enforcer[-],[8692FF]Ejecutor[-]
buffEnforcerImpSetBonusName,buffs,buff,,Armor Bonus,Bonificación de armadura
buffEnforcerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Enforcer armor bonus.,Te afecta la bonificación de la armadura mejorada de [8692FF]Ejecutor[-].
buffEnforcerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Enforcer»[-] improved Armor\nSMG and pistol damage increased by [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-].","Has equipado un conjunto completo de armadura mejorada de [8692FF]Ejecutor[-]\nDaño de subfusiles y pistolas aumentado en un [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. Al mejorar las armas de cuerpo a cuerpo: daño aumentado en un [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], velocidad de ataque aumentada en un [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], consumo de resistencia reducido en un [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-]."
armorRangerHelmetImp,items,Clothes,,Ranger Helmet [8692FF]Improved[-],[8692FF]Gorro de Guardabosques Mejorado[-]
armorRangerHelmetImpDesc,items,Clothes,,"Medium Armor\nImproved version of the Ranger Hat. Rangers are fierce negotiators, especially when wearing a well-made hat. Increases the profitability of trade deals. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Armadura media\nVersión mejorada del Gorro de Guardabosques. Los guardabosques son negociadores feroces, especialmente cuando llevan un sombrero bien hecho. Aumenta la rentabilidad de los acuerdos comerciales. Ahora estás mejor entrenado en combate.\n\n[DECEA3]Bonificación de conjunto completo:[-]\n[FF6666]Mejora de arma de cuerpo a cuerpo[-] disponible (instalada en los guantes). Aumenta el daño infligido por armas a distancia.\n\n[DECEA3]Para su reparación se requiere un kit de reparación mejorado.[-]"
armorRangerOutfitImp,items,Clothes,,Ranger Outfit [8692FF]Improved[-],[8692FF]Atuendo de Guardabosques Mejorado[-]
armorRangerOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Ranger Outfit. Nature has taught strength not only of the spirit, but also of the body. Increases the number of health units, as well as your load capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Armadura media\nUna versión mejorada del Atuendo de Guardabosques. La naturaleza ha enseñado la fuerza no solo del espíritu, sino también del cuerpo. Aumenta el número de unidades de salud, así como tu capacidad de carga.\n\n[DECEA3]Bonificación de conjunto completo:[-]\n[FF6666]Mejora de arma de cuerpo a cuerpo[-] disponible (instalada en los guantes). Aumenta el daño infligido por armas a distancia.\n\n[DECEA3]Para su reparación se requiere un kit de reparación mejorado.[-]"
armorRangerGlovesImp,items,Clothes,,Ranger Gloves [8692FF]Improved[-],[8692FF]Guantes de Guardabosques Mejorados[-]
armorRangerGlovesImpDesc,items,Clothes,,Medium Armor\nImproved version of the Ranger's Gloves. These comfortable gloves allow you to quickly handle any weapon. Increases weapon reload speed. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura media\nVersión mejorada de los Guantes de Guardabosques. Estos cómodos guantes te permiten manejar rápidamente cualquier arma. Aumenta la velocidad de recarga de las armas. Puedes instalar una mejora para aumentar la velocidad de ataque de las armas de cuerpo a cuerpo.\n\n[DECEA3]Bonificación de conjunto completo:[-]\n[FF6666]Mejora de arma de cuerpo a cuerpo[-] disponible (instalada en los guantes). Aumenta el daño infligido por armas a distancia.\n\n[DECEA3]Para su reparación se requiere un kit de reparación mejorado.[-]
armorRangerBootsImp,items,Clothes,,Ranger Boots [8692FF]Improved[-],[8692FF]Botas de Guardabosques Mejoradas[-]
armorRangerBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Ranger's Boots. Stamina is the key to successful survival in the wilderness. Increases your stamina. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura media\nUna versión mejorada de las Botas de Guardabosques. La resistencia es la clave para una supervivencia exitosa en la naturaleza. Aumenta tu resistencia. Es mucho más fácil mantener el equilibrio durante los ataques cuerpo a cuerpo.\n\n[DECEA3]Bonificación de conjunto completo:[-]\n[FF6666]Mejora de arma de cuerpo a cuerpo[-] disponible (instalada en los guantes). Aumenta el daño infligido por armas a distancia.\n\n[DECEA3]Para su reparación se requiere un kit de reparación mejorado.[-]
buffRangerImpSetBonus,buffs,Buff,,[8692FF]Ranger[-],[8692FF]Guardabosques[-]
buffRangerImpSetBonusName,buffs,buff,,Armor Bonus,Bonificación de armadura
buffRangerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Ranger armor bonus.,Te afecta la bonificación de la armadura mejorada de [8692FF]Guardabosques[-].
buffRangerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Ranger»[-] improved Armor\nRanged weapon damage increased by [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-].","Has equipado un conjunto completo de armadura mejorada de [8692FF]Guardabosques[-]\nDaño de armas a distancia aumentado en un [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. Al mejorar las armas de cuerpo a cuerpo: daño aumentado en un [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], velocidad de ataque aumentada en un [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], consumo de resistencia reducido en un [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-]."
armorCommandoHelmetImp,items,Clothes,,Commando Helmet [8692FF]Improved[-],[8692FF]Casco de Comando Mejorado[-]
armorCommandoHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces Helmet. Health regeneration rate has been increased. You are now better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura media\nUna versión mejorada del Casco de Comando. Se ha aumentado la velocidad de regeneración de salud. Ahora estás mejor entrenado en combate.\n\n[DECEA3]Bonificación de conjunto completo:[-]\n[FF6666]Mejora de arma de cuerpo a cuerpo[-] disponible (instalada en los guantes). Aumenta el daño infligido por armas automáticas.\n\n[DECEA3]Para su reparación se requiere un kit de reparación mejorado.[-]
armorCommandoOutfitImp,items,Clothes,,Commando Outfit [8692FF]Improved[-],[8692FF]Atuendo de Comando Mejorado[-]
armorCommandoOutfitImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces uniform. True Special Forces can take any hit without flinching. Faster recovery from critical injuries.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura media\nUna versión mejorada del Atuendo de Comando. Los verdaderos comandos pueden soportar cualquier golpe sin inmutarse. Recuperación más rápida de heridas críticas.\n\n[DECEA3]Bonificación de conjunto completo:[-]\n[FF6666]Mejora de arma de cuerpo a cuerpo[-] disponible (instalada en los guantes). Aumenta el daño infligido por armas automáticas.\n\n[DECEA3]Para su reparación se requiere un kit de reparación mejorado.[-]
armorCommandoGlovesImp,items,Clothes,,Commando Gloves [8692FF]Improved[-],[8692FF]Guantes de Comando Mejorados[-]
armorCommandoGlovesImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Commando Gloves. A good marksman can easily disassemble and reassemble his weapon, and the reloading process has been perfected. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Armadura media\nUna versión mejorada de los Guantes de Comando. Un buen tirador puede desmontar y volver a montar su arma con facilidad, y el proceso de recarga se ha perfeccionado. Puedes instalar una mejora para aumentar la velocidad de ataque de las armas de cuerpo a cuerpo.\n\n[DECEA3]Bonificación de conjunto completo:[-]\n[FF6666]Mejora de arma de cuerpo a cuerpo[-] disponible (instalada en los guantes). Aumenta el daño infligido por armas automáticas.\n\n[DECEA3]Para su reparación se requiere un kit de reparación mejorado.[-]"
armorCommandoBootsImp,items,Clothes,,Commando Boots [8692FF]Improved[-],[8692FF]Botas de Comando Mejoradas[-]
armorCommandoBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces boots. These boots are suitable for the most difficult obstacle course. Increases the safe fall height. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura media\nUna versión mejorada de las Botas de Comando. Estas botas son adecuadas para el recorrido de obstáculos más difícil. Aumenta la altura de caída segura. Es mucho más fácil mantener el equilibrio durante los ataques cuerpo a cuerpo.\n\n[DECEA3]Bonificación de conjunto completo:[-]\n[FF6666]Mejora de arma de cuerpo a cuerpo[-] disponible (instalada en los guantes). Aumenta el daño infligido por armas automáticas.\n\n[DECEA3]Para su reparación se requiere un kit de reparación mejorado.[-]
buffCommandoImpSetBonus,buffs,Buff,,[8692FF]Commando[-],[8692FF]Comando[-]
buffCommandoImpSetBonusName,buffs,buff,,Armor Bonus,Bonificación de armadura
buffCommandoImpSetBonusTooltip,buffs,buff,,You are affected by the improved Commando armor bonus.,Te afecta la bonificación de la armadura mejorada de [8692FF]Comando[-].
buffCommandoImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Commando»[-] improved Armor\nAutomatic weapon damage increased by [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-].","Has equipado un conjunto completo de armadura mejorada de [8692FF]Comando[-]\nDaño de armas automáticas aumentado en un [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]. Al mejorar las armas de cuerpo a cuerpo: daño aumentado en un [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-], velocidad de ataque aumentada en un [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-], consumo de resistencia reducido en un [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-]."
armorAssassinHelmetImp,items,Clothes,,Assassin Helmet [8692FF]Improved[-],[8692FF]Capucha de Asesino Mejorada[-]
armorAssassinHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Assassin Hood. They won't even notice. Increases damage while stealthed. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-],Armadura media\nUna versión mejorada de la Capucha de Asesino. Ni siquiera lo notarán. Aumenta el daño en modo sigilo. Ahora estás mejor entrenado en combate.\n\n[DECEA3]Bonificación de conjunto completo:[-]\n[FF6666]Mejora de arma de cuerpo a cuerpo[-] disponible (instalada en los guantes). Aumenta el daño infligido por rifles de francotirador.\n\n[DECEA3]Para su reparación se requiere un kit de reparación mejorado.[-]
armorAssassinOutfitImp,items,Clothes,,Assassin Outfit [8692FF]Improved[-],[8692FF]Atuendo de Asesino Mejorado[-]
