Key,Source,Context,Changes,English,Russian
modEnhancedClub,item_modifiers,mod,,[FF6666]«Boost»[-] Clubs,[FF6666]«Усиление»[-] Дубины
modEnhancedClubDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to club proficiency when wearing a full set of improved armor.,«Усиление» для улучшенной брони. Устанавливается в перчатки.\n\nДаёт бонус к владению дубинами при ношении полного комплекта улучшенной брони.
modEnhancedSledgehammer,item_modifiers,mod,,[FF6666]«Boost»[-] Sledgehammers,[FF6666]«Усиление»[-] Кувалды
modEnhancedSledgehammerDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to sledgehammer proficiency when wearing a full set of improved armor.,«Усиление» для улучшенной брони. Устанавливается в перчатки.\n\nДаёт бонус к владению кувалдами при ношении полного комплекта улучшенной брони.
modEnhancedKnuckles,item_modifiers,mod,,[FF6666]«Boost»[-] Knuckles,[FF6666]«Усиление»[-] Кастеты
modEnhancedKnucklesDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to knuckle proficiency when wearing a full set of improved armor.,«Усиление» для улучшенной брони. Устанавливается в перчатки.\n\nДаёт бонус к владению кастетами при ношении полного комплекта улучшенной брони.
modEnhancedKnife,item_modifiers,mod,,[FF6666]«Boost»[-] Knives and Machetes,[FF6666]«Усиление»[-] Ножи и Мачете
modEnhancedKnifeDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGives a bonus to knife and machete proficiency when wearing a full set of improved armor.,«Усиление» для улучшенной брони. Устанавливается в перчатки.\n\nДаёт бонус к владению ножами и мачете при ношении полного комплекта улучшенной брони.
modEnhancedStunBaton,item_modifiers,mod,,[FF6666]«Boost»[-] Stun Batons,[FF6666]«Усиление»[-] Оглушающие жезлы
modEnhancedStunBatonDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to stun baton proficiency when wearing a full set of improved armor.,«Усиление» для улучшенной брони. Устанавливается в перчатки.\n\nДаёт бонус к владению оглушающими жезлами при ношении полного комплекта улучшенной брони.
armorRogueHelmetImp,items,Clothes,,Rogue Hood [8692FF]Improved[-],[8692FF]Улучшенная[-] Капюшон разбойника
armorRogueHelmetImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Hood. A true rogue always recognizes loot. You find more banknotes and dukes in loot. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt with bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Легкая броня\nУлучшенная версия капюшона разбойника. Настоящий разбойник всегда распознаёт добычу. Вы находите больше банкнот и дюков в луте. Теперь вы лучше обучаетесь в бою.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляется в перчатки). Увеличивает урон, наносимый луками и арбалетами.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]"
armorRogueOutfitImp,items,Clothes,,Rogue Outfit [8692FF]Improved[-],[8692FF]Улучшенная[-] Одежда разбойника
armorRogueOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's outfit. Heals wounds like a dog. Increases the speed of critical wound healing. You can now carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Легкая броня\nУлучшенная версия одежды разбойника. Раны заживают, как у собаки. Увеличивает скорость лечения критических ранений, а также вашу грузоподъёмность.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляется в перчатки). Увеличивает урон, наносимый луками и арбалетами.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]"
armorRogueGlovesImp,items,Clothes,,Rogue Gloves [8692FF]Improved[-],[8692FF]Улучшенная[-] Перчатки разбойника
armorRogueGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Gloves. Arrows and bolts do not slip out of your hands at an inopportune moment. Increased reload speed of bows and crossbows. You can install a boost to increase the attack speed of melee weapons.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Легкая броня\nУлучшенная версия перчаток разбойника. Стрелы и болты не выскальзывают из рук в ненужный момент. Увеличена скорость перезарядки луков и арбалетов.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляется в перчатки). Увеличивает урон, наносимый луками и арбалетами.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]"
armorRogueBootsImp,items,Clothes,,Rogue Shoes [8692FF]Improved[-],[8692FF]Улучшенная[-] Обувь разбойника
armorRogueBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's Boots. Almost ninja-like. Less noise and faster movement in stealth. Much easier to maintain balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Легкая броня\nУлучшенная версия обуви разбойника. Почти как ниндзя. Меньше шума и быстрее передвижение в стелсе. Вам намного проще удержать равновесие при атаках в ближнем бою.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляется в перчатки). Увеличивает урон, наносимый луками и арбалетами.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]"
buffRogueImpSetBonus,buffs,Buff,,[8692FF]Rogue[-],[8692FF]Разбойник[-]
buffRogueImpSetBonusName,buffs,buff,,Armor Bonus,Бонус брони
buffRogueImpSetBonusTooltip,buffs,buff,,You are affected by the improved Rogue armor bonus.,На вас действует бонус улучшенной брони [8692FF]«Разбойник»[-].
buffRogueImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Rogue»[-] improved armor.\nBow and crossbow damage increased by [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-].","Вы надели полный комплект улучшенной брони [8692FF]«Разбойник»[-].\nУрон луков и арбалетов увеличен на [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. При усилении оружия ближнего боя: урон увеличен на [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], скорость атаки увеличена на [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], расход выносливости снижен на [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-]."
armorEnforcerHelmetImp,items,Clothes,,Enforcer Sunglasses [8692FF]Improved[-],[8692FF]Улучшенная[-] Очки блюстителя закона
armorEnforcerHelmetImpDesc,items,Clothes,,"Light Armor\nAn improved version of the Enforcer Sunglasses. With these glasses, you can always negotiate a good price for your product. This increases the selling price. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-]",Легкая броня\nУлучшенная версия очков блюстителя закона. С такими очками вы всегда можете договориться о хорошей цене за ваш товар. Увеличивает цену продажи. Теперь вы лучше обучаетесь в бою.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон от способности [DECEA3]«Меткий Стрелок»[-].\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]
armorEnforcerOutfitImp,items,Clothes,,Enforcer Outfit [8692FF]Improved[-],[8692FF]Улучшенная[-] Одежда блюстителя закона
armorEnforcerOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Outfit. Stylish and lightweight materials mean you can withstand any impact. Increases resistance to critical injuries. Now you can carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Легкая броня\nУлучшенная версия одежды блюстителя закона. Благодаря стильным и легким материалам вы сможете выдержать любой удар. Повышает сопротивление критическим травмам, а также вашу грузоподъёмность.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон от способности [DECEA3]«Меткий Стрелок»[-].\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]"
armorEnforcerGlovesImp,items,Clothes,,Enforcer Gloves [8692FF]Improved[-],[8692FF]Улучшенная[-] Перчатки блюстителя закона
armorEnforcerGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Gloves. Gloves like these were worn back in the days of the Wild West. Increases reload speed for SMGs and pistols. You can install a boost to increase melee weapon attack speed.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Легкая броня\nУлучшенная версия перчаток блюстителя закона. Такие перчатки носили еще во времена Дикого Запада. Увеличивает скорость перезарядки ПП и пистолетов. Вы можете установить усиление для увеличения скорости атаки оружия ближнего боя.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон от способности [DECEA3]«Меткий Стрелок»[-].\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]
armorEnforcerBootsImp,items,Clothes,,Enforcer Shoes [8692FF]Improved[-],[8692FF]Улучшенная[-] Обувь блюстителя закона
armorEnforcerBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Shoes.\nThese shoes will not soon become unusable. Increases stamina. It is much easier for you to maintain your balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Легкая броня\nУлучшенная версия обуви блюстителя закона. Эта обувь еще не скоро придет в негодность. Увеличивает запас выносливости. Вам намного проще удержать равновесие при атаках в ближнем бою.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон от способности [DECEA3]«Меткий Стрелок»[-].\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]
buffEnforcerImpSetBonus,buffs,Buff,,[8692FF]Enforcer[-],[8692FF]Законник[-]
buffEnforcerImpSetBonusName,buffs,buff,,Armor Bonus,Бонус брони
buffEnforcerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Enforcer armor bonus.,На вас действует бонус улучшенной брони [8692FF]«Законник»[-].
buffEnforcerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Enforcer»[-] improved Armor\nSMG and pistol damage increased by [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-].","Вы надели полный комплект улучшенной брони [8692FF]«Законник»[-]\nУрон ПП и пистолетов увеличен на [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. При усилении оружия ближнего боя: урон увеличен на [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], скорость атаки увеличена на [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], расход выносливости снижен на [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-]."
armorRangerHelmetImp,items,Clothes,,Ranger Helmet [8692FF]Improved[-],[8692FF]Улучшенная[-] Шапка егеря
armorRangerHelmetImpDesc,items,Clothes,,"Medium Armor\nImproved version of the Ranger Hat. Rangers are fierce negotiators, especially when wearing a well-made hat. Increases the profitability of trade deals. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Средняя броня\nУлучшенная версия шапки егеря. Егеря — отчаянные переговорщики, особенно если на них надета добротно сделанная шляпа. Повышает выгодность сделок при торговле. Теперь вы лучше обучаетесь в бою.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон, наносимый оружием дальнего боя.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]"
armorRangerOutfitImp,items,Clothes,,Ranger Outfit [8692FF]Improved[-],[8692FF]Улучшенная[-] Одежда егеря
armorRangerOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Ranger Outfit. Nature has taught strength not only of the spirit, but also of the body. Increases the number of health units, as well as your load capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Средняя броня\nУлучшенная версия одежды егеря. Природа научила крепости не только духа, но и тела. Увеличивает количество единиц здоровья, а также вашу грузоподъёмность.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон, наносимый оружием дальнего боя.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]"
armorRangerGlovesImp,items,Clothes,,Ranger Gloves [8692FF]Improved[-],[8692FF]Улучшенная[-] Перчатки егеря
armorRangerGlovesImpDesc,items,Clothes,,Medium Armor\nImproved version of the Ranger's Gloves. These comfortable gloves allow you to quickly handle any weapon. Increases weapon reload speed. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Средняя броня\nУлучшенная версия перчаток егеря. Эти удобные перчатки позволяют быстро управляться с любым оружием. Увеличивает скорость перезарядки оружия.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон, наносимый оружием дальнего боя.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]"
armorRangerBootsImp,items,Clothes,,Ranger Boots [8692FF]Improved[-],[8692FF]Улучшенная[-] Обувь егеря
armorRangerBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Ranger's Boots. Stamina is the key to successful survival in the wilderness. Increases your stamina. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Средняя броня\nУлучшенная версия обуви егеря. Запас выносливости — залог успешного выживания в дикой местности. Увеличивает запас выносливости. Вам намного проще удержать равновесие при атаках в ближнем бою.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон, наносимый оружием дальнего боя.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]"
buffRangerImpSetBonus,buffs,Buff,,[8692FF]Ranger[-],[8692FF]Егерь[-]
buffRangerImpSetBonusName,buffs,buff,,Armor Bonus,Бонус брони
buffRangerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Ranger armor bonus.,На вас действует бонус улучшенной брони [8692FF]«Егерь»[-].
buffRangerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Ranger»[-] improved Armor\nRanged weapon damage increased by [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-].","Вы надели полный комплект улучшенной брони [8692FF]«Егерь»[-]\nУрон оружия дальнего боя увеличен на [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. При усилении оружия ближнего боя: урон увеличен на [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], скорость атаки увеличена на [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], расход выносливости снижен на [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-]."
armorCommandoHelmetImp,items,Clothes,,Commando Helmet [8692FF]Improved[-],[8692FF]Улучшенная[-] Спецназовский шлем
armorCommandoHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces Helmet. Health regeneration rate has been increased. You are now better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Средняя броня\nУлучшенная версия спецназовского шлема. Скорость восстановления здоровья увеличена. Теперь вы лучше обучаетесь в бою.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон, наносимый автоматическим оружием.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]"
armorCommandoOutfitImp,items,Clothes,,Commando Outfit [8692FF]Improved[-],[8692FF]Улучшенная[-] Спецназовская форма
armorCommandoOutfitImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces uniform. True Special Forces can take any hit without flinching. Faster recovery from critical injuries.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Средняя броня\nУлучшенная версия спецназовской формы. Настоящие спецназовцы выдерживают любой удар, не дрогнув. Ускоряет восстановление после критических травм.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон, наносимый автоматическим оружием.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]"
armorCommandoGlovesImp,items,Clothes,,Commando Gloves [8692FF]Improved[-],[8692FF]Улучшенная[-] Спецназовские перчатки
armorCommandoGlovesImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Commando Gloves. A good marksman can easily disassemble and reassemble his weapon, and the reloading process has been perfected. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Средняя броня\nУлучшенная версия спецназовских перчаток. Хороший стрелок с лёгкостью разбирает и собирает своё оружие, а процесс перезарядки доведён до совершенства.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон, наносимый автоматическим оружием.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]"
armorCommandoBootsImp,items,Clothes,,Commando Boots [8692FF]Improved[-],[8692FF]Улучшенная[-] Спецназовские ботинки
armorCommandoBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces boots. These boots are suitable for the most difficult obstacle course. Increases the safe fall height. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Средняя броня\nУлучшенная версия спецназовских ботинок. Эта обувь подойдёт для самой сложной полосы препятствий. Увеличивает безопасную высоту падения. Вам намного проще удержать равновесие при атаках в ближнем бою.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон, наносимый автоматическим оружием.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]"
buffCommandoImpSetBonus,buffs,Buff,,[8692FF]Commando[-],[8692FF]Спецназ[-]
buffCommandoImpSetBonusName,buffs,buff,,Armor Bonus,Бонус брони
buffCommandoImpSetBonusTooltip,buffs,buff,,You are affected by the improved Commando armor bonus.,На вас действует бонус улучшенной брони [8692FF]«Спецназ»[-].
buffCommandoImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Commando»[-] improved Armor\nAutomatic weapon damage increased by [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-].","Вы надели полный комплект улучшенной брони [8692FF]«Спецназ»[-]\nУрон автоматического оружия увеличен на [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]. При усилении оружия ближнего боя: урон увеличен на [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-], скорость атаки увеличена на [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-], расход выносливости снижен на [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-]."
armorAssassinHelmetImp,items,Clothes,,Assassin Helmet [8692FF]Improved[-],[8692FF]Улучшенная[-] Капюшон убийцы
armorAssassinHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Assassin Hood. They won't even notice. Increases damage while stealthed. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Средняя броня\nУлучшенная версия капюшона убийцы. Они даже ничего не заметят. Увеличивает урон в режиме скрытности. Теперь вы лучше обучаетесь в бою.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон, наносимый снайперскими винтовками.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]"
armorAssassinOutfitImp,items,Clothes,,Assassin Outfit [8692FF]Improved[-],[8692FF]Улучшенная[-] Одежда убийцы
armorAssassinOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Assassin Outfit. Be unseen, unheard, and unharmed. Increases your effectiveness while in stealth mode and your carrying capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Средняя броня\nУлучшенная версия одежды убийцы. Будьте незаметны, неслышны и невредимы. Повышает эффективность в режиме скрытности, а также вашу грузоподъёмность.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон, наносимый снайперскими винтовками.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]"
armorAssassinGlovesImp,items,Clothes,,Assassin Gloves [8692FF]Improved[-],[8692FF]Улучшенная[-] Перчатки убийцы
