Key,Source,Context,Changes,English,Polish
modEnhancedSpearDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to spear proficiency when wearing a full set of improved armor.,"Ulepszenie poprawiające zbroję. Instalowany w rękawicach.\n\nZapewnia premię do biegłości we włóczni, gdy nosisz pełny zestaw ulepszonej zbroi."
modEnhancedClub,item_modifiers,mod,,[FF6666]«Boost»[-] Clubs,[FF6666] «Wzmocnienie» [-] Kluby
modEnhancedClubDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to club proficiency when wearing a full set of improved armor.,"Ulepszenie poprawiające zbroję. Instalowany w rękawiczkach.\n\nZapewnia premię do biegłości maczugi, gdy nosisz pełny zestaw ulepszonej zbroi."
modEnhancedSledgehammer,item_modifiers,mod,,[FF6666]«Boost»[-] Sledgehammers,[FF6666] «Wzmocnienie» [-] Młoty
modEnhancedSledgehammerDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to sledgehammer proficiency when wearing a full set of improved armor.,"Ulepszenie poprawiające zbroję. Instalowany w rękawiczkach.\n\nZapewnia premię do biegłości w młotie kowalskim, gdy nosisz pełny zestaw ulepszonej zbroi."
modEnhancedKnuckles,item_modifiers,mod,,[FF6666]«Boost»[-] Knuckles,[FF6666] «Wzmocnienie» [-] Kostki
modEnhancedKnucklesDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to knuckle proficiency when wearing a full set of improved armor.,"Ulepszenie poprawiające zbroję. Instalowany w rękawiczkach.\n\nZapewnia premię do sprawności kostek, gdy nosisz pełny zestaw ulepszonej zbroi."
modEnhancedKnife,item_modifiers,mod,,[FF6666]«Boost»[-] Knives and Machetes,[FF6666] «Boost» [-] Noże i maczety
modEnhancedKnifeDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGives a bonus to knife and machete proficiency when wearing a full set of improved armor.,"Ulepszenie poprawiające zbroję. Instalowany w rękawiczkach.\n\nDaje premię do biegłości w posługiwaniu się nożem i maczetą, gdy nosisz pełny zestaw ulepszonej zbroi."
modEnhancedStunBaton,item_modifiers,mod,,[FF6666]«Boost»[-] Stun Batons,[FF6666] «Wzmocnienie» [-] Pałki ogłuszające
modEnhancedStunBatonDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to stun baton proficiency when wearing a full set of improved armor.,"Ulepszenie poprawiające zbroję. Instalowany w rękawiczkach.\n\nZapewnia premię do biegłości w pałce ogłuszającej, gdy nosisz pełny zestaw ulepszonej zbroi."
armorRogueHelmetImp,items,Clothes,,Rogue Hood [8692FF]Improved[-],Kaptur Łotra [8692FF] «Ulepszony»[-]
armorRogueHelmetImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Hood. A true rogue always recognizes loot. You find more banknotes and dukes in loot. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt with bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Lekka zbroja\nUlepszona wersja kaptura Łotra. Prawdziwy łotrzyk zawsze rozpoznaje łup. W łupie znajdziesz więcej banknotów i książąt. Jesteś teraz lepiej wyszkolony w walce.\n\nPremia za pełny zestaw: dostępna [FF6666]Wzmocnienie broni białej[-] (instalowane w rękawiczkach). Zwiększa obrażenia zadawane przez łuki i kusze.\n\n[DECEA3]Naprawa wymaga zestawu naprawczego (ulepszonego).[-]
armorRogueOutfitImp,items,Clothes,,Rogue Outfit [8692FF]Improved[-],Strój Łotra [8692FF] «Ulepszony»[-]
armorRogueOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's outfit. Heals wounds like a dog. Increases the speed of critical wound healing. You can now carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Lekka zbroja\nUlepszona wersja stroju Łotrzyka. Leczy rany jak pies. Zwiększa prędkość krytycznego gojenia się ran. Możesz teraz nosić więcej.\n\nPremia za pełny zestaw: dostępna [FF6666]Wzmocnienie broni białej[-] (instalowane w rękawiczkach). Zwiększa obrażenia zadawane przez łuki i kusze.\n\n[DECEA3]Naprawa wymaga zestawu naprawczego (ulepszonego).[-]
armorRogueGlovesImp,items,Clothes,,Rogue Gloves [8692FF]Improved[-],Rękawiczki Łotrzyka [8692FF] «Ulepszone»[-]
armorRogueGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Gloves. Arrows and bolts do not slip out of your hands at an inopportune moment. Increased reload speed of bows and crossbows. You can install a boost to increase the attack speed of melee weapons.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Lekki pancerz\nUlepszona wersja Rękawic Łotrzyka. Strzały i bełty nie wyślizgują się z rąk w nieodpowiednim momencie. Zwiększona prędkość przeładowania łuków i kusz. Możesz zainstalować wzmocnienie, aby zwiększyć prędkość ataku broni białej.\n\nPremia za pełny zestaw: Dostępna [FF6666]Wzmocnienie broni białej[-] (instalowane w rękawiczkach). Zwiększa obrażenia zadawane przez łuki i kusze.\n\n[DECEA3]Naprawa wymaga zestawu naprawczego (ulepszonego).[-]"
armorRogueBootsImp,items,Clothes,,Rogue Shoes [8692FF]Improved[-],Buty Rogue [8692FF] «Ulepszone»[-]
armorRogueBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's Boots. Almost ninja-like. Less noise and faster movement in stealth. Much easier to maintain balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],Lekka zbroja\nUlepszona wersja Butów Łotrzyka. Prawie jak ninja. Mniej hałasu i szybszy ruch w ukryciu. Znacznie łatwiej utrzymać równowagę podczas ataków wręcz.\n\nPremia za pełny zestaw: Dostępna [FF6666]Wzmocnienie broni białej[-] (instalowane w rękawiczkach). Zwiększa obrażenia zadawane przez łuki i kusze.\n\n[DECEA3]Naprawa wymaga zestawu naprawczego (ulepszonego).[-]
buffRogueImpSetBonus,buffs,Buff,,[8692FF]Rogue[-],[8692FF]Łotr[-]
buffRogueImpSetBonusName,buffs,buff,,Armor Bonus,Premia za zbroję
buffRogueImpSetBonusTooltip,buffs,buff,,You are affected by the improved Rogue armor bonus.,Masz wpływ na ulepszoną premię do pancerza Łotrzyka.
buffRogueImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Rogue»[-] improved armor.\nBow and crossbow damage increased by [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-].","Wyposażyłeś się w pełen zestaw ulepszonego pancerza [8692FF] «Łotra»[-].\nObrażenia łuków i kuszy zwiększone o [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. Podczas ulepszania broni białej: obrażenia zwiększone o [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], prędkość ataku zwiększona o [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], zużycie wytrzymałości zmniejszone o [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-]."
armorEnforcerHelmetImp,items,Clothes,,Enforcer Sunglasses [8692FF]Improved[-],Okulary przeciwsłoneczne Enforcer [8692FF] «Ulepszone»[-]
armorEnforcerHelmetImpDesc,items,Clothes,,"Light Armor\nAn improved version of the Enforcer Sunglasses. With these glasses, you can always negotiate a good price for your product. This increases the selling price. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-]",Lekki pancerz\nUlepszona wersja okularów przeciwsłonecznych Enforcer. Dzięki tym okularom zawsze możesz wynegocjować dobrą cenę za swój produkt. To podnosi cenę sprzedaży. Jesteś teraz lepiej wyszkolony w walce.\n\nPremia za pełny zestaw: dostępna [FF6666]Wzmocnienie broni białej[-] (instalowane w rękawiczkach). Zwiększa obrażenia umiejętności Jednoręki bandyta.\n\n[DECEA3]Naprawa wymaga zestawu naprawczego (ulepszonego).[-]
armorEnforcerOutfitImp,items,Clothes,,Enforcer Outfit [8692FF]Improved[-],Strój Enforcera [8692FF] «Ulepszony»[-]
armorEnforcerOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Outfit. Stylish and lightweight materials mean you can withstand any impact. Increases resistance to critical injuries. Now you can carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Lekka zbroja\nUlepszona wersja stroju Enforcera. Stylowe i lekkie materiały oznaczają, że wytrzymasz każde uderzenie. Zwiększa odporność na obrażenia krytyczne. Teraz możesz unieść więcej.\n\nPremia za pełny zestaw: dostępna [FF6666]Wzmocnienie broni białej[-] (instalowane w rękawiczkach). Zwiększa obrażenia umiejętności Jednoręki bandyta.\n\n[DECEA3]Naprawa wymaga zestawu naprawczego (ulepszonego).[-]"
armorEnforcerGlovesImp,items,Clothes,,Enforcer Gloves [8692FF]Improved[-],Rękawice Enforcer [8692FF] «Ulepszone»[-]
armorEnforcerGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Gloves. Gloves like these were worn back in the days of the Wild West. Increases reload speed for SMGs and pistols. You can install a boost to increase melee weapon attack speed.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Lekki pancerz\nUlepszona wersja Rękawic Enforcera. Takie rękawiczki noszono już w czasach Dzikiego Zachodu. Zwiększa prędkość przeładowania pistoletów maszynowych i pistoletów. Możesz zainstalować wzmocnienie, aby zwiększyć prędkość ataku bronią białą.\n\nPremia pełnego zestawu: Dostępna [FF6666]Wzmocnienie broni białej[-] (instalowane w rękawiczkach). Zwiększa obrażenia zadawane przez umiejętność Jednoręki bandyta.\n\n[DECEA3]Naprawa wymaga zestawu naprawczego (ulepszonego).[-]"
armorEnforcerBootsImp,items,Clothes,,Enforcer Shoes [8692FF]Improved[-],Buty Enforcer [8692FF] «Ulepszone»[-]
armorEnforcerBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Shoes.\nThese shoes will not soon become unusable. Increases stamina. It is much easier for you to maintain your balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Lekki pancerz\nUlepszona wersja butów Enforcer.\nTe buty wkrótce nie staną się bezużyteczne. Zwiększa wytrzymałość. Znacznie łatwiej jest ci utrzymać równowagę podczas ataków wręcz.\n\nPremia za pełny zestaw: Dostępna [FF6666]Wzmocnienie broni białej[-] (instalowane w rękawiczkach). Zwiększa obrażenia umiejętności Jednoręki bandyta.\n\n[DECEA3]Naprawa wymaga zestawu naprawczego (ulepszonego).[-]
buffEnforcerImpSetBonus,buffs,Buff,,[8692FF]Enforcer[-],[8692FF]Egzekutor[-]
buffEnforcerImpSetBonusName,buffs,buff,,Armor Bonus,Premia za zbroję
buffEnforcerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Enforcer armor bonus.,Masz wpływ na ulepszoną premię do pancerza Enforcera.
buffEnforcerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Enforcer»[-] improved Armor\nSMG and pistol damage increased by [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-].","Wyposażyłeś się w pełen zestaw [8692FF] «Enforcera» [-] ulepszonego pancerza\n pistoletu maszynowego i obrażeń pistoletu zwiększonych o [DECEA3] {cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. Podczas ulepszania broni białej: obrażenia zwiększone o [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], prędkość ataku zwiększona o [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], zużycie wytrzymałości zmniejszone o [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-]."
armorRangerHelmetImp,items,Clothes,,Ranger Helmet [8692FF]Improved[-],Hełm Rangera [8692FF] «Ulepszony»[-]
armorRangerHelmetImpDesc,items,Clothes,,"Medium Armor\nImproved version of the Ranger Hat. Rangers are fierce negotiators, especially when wearing a well-made hat. Increases the profitability of trade deals. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Średni pancerz\nUlepszona wersja Kapelusza Strażnika. Łowcy są zaciekłymi negocjatorami, zwłaszcza gdy noszą dobrze wykonany kapelusz. Zwiększa rentowność transakcji handlowych. Teraz jesteś lepiej wyszkolony w walce.\n\n[DECEA3]Premia za pełny zestaw:[-]\n[FF6666]Wzmocnienie broni białej[-] dostępne (zainstalowane w rękawiczkach). Zwiększa obrażenia zadawane przez broń dystansową.\n\n[DECEA3]Naprawa wymaga zestawu naprawczego (ulepszonego).[-]"
armorRangerOutfitImp,items,Clothes,,Ranger Outfit [8692FF]Improved[-],Strój Rangera [8692FF] «Ulepszony»[-]
armorRangerOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Ranger Outfit. Nature has taught strength not only of the spirit, but also of the body. Increases the number of health units, as well as your load capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Średni pancerz\nUlepszona wersja stroju Rangera. Natura nauczyła siły nie tylko ducha, ale i ciała. Zwiększa liczbę jednostek zdrowia, a także ładowność.\n\n[DECEA3]Premia za pełny zestaw:[-]\n[FF6666]Dostępne wzmocnienie broni białej[-] (zainstalowane w rękawicach). Zwiększa obrażenia zadawane przez broń dystansową.\n\n[DECEA3]Naprawa wymaga zestawu naprawczego (ulepszonego).[-]"
armorRangerGlovesImp,items,Clothes,,Ranger Gloves [8692FF]Improved[-],Rękawice Rangera [8692FF] «Ulepszone»[-]
armorRangerGlovesImpDesc,items,Clothes,,Medium Armor\nImproved version of the Ranger's Gloves. These comfortable gloves allow you to quickly handle any weapon. Increases weapon reload speed. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Średni pancerz\nUlepszona wersja Rękawic Łowcy. Te wygodne rękawice pozwalają szybko opanować każdą broń. Zwiększa prędkość przeładowania broni. Możesz zainstalować wzmocnienie, aby zwiększyć prędkość ataku broni białej.\n\n[DECEA3]Premia za pełen zestaw:[-]\n[FF6666]Wzmocnienie broni białej[-] dostępne (zainstalowane w rękawiczkach). Zwiększa obrażenia zadawane przez broń dystansową.\n\n[DECEA3]Naprawa wymaga zestawu naprawczego (ulepszonego).[-]"
armorRangerBootsImp,items,Clothes,,Ranger Boots [8692FF]Improved[-],Buty Rangera [8692FF] «Ulepszone»[-]
armorRangerBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Ranger's Boots. Stamina is the key to successful survival in the wilderness. Increases your stamina. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Średni pancerz\nUlepszona wersja Butów Strażnika. Wytrzymałość jest kluczem do pomyślnego przetrwania w dziczy. Zwiększa twoją wytrzymałość. Dużo łatwiej jest ci utrzymać równowagę podczas ataków wręcz.\n\n[DECEA3]Premia za pełny zestaw:[-]\n[FF6666]Dostępne wzmocnienie broni białej[-] (zainstalowane w rękawiczkach). Zwiększa obrażenia zadawane przez broń dystansową.\n\n[DECEA3]Naprawa wymaga zestawu naprawczego (ulepszonego).[-]
buffRangerImpSetBonus,buffs,Buff,,[8692FF]Ranger[-],[8692FF]Łowca[-]
buffRangerImpSetBonusName,buffs,buff,,Armor Bonus,Premia za zbroję
buffRangerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Ranger armor bonus.,Masz wpływ na ulepszony bonus pancerza Rangera.
buffRangerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Ranger»[-] improved Armor\nRanged weapon damage increased by [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-].","Wyposażyłeś się w pełen zestaw [8692FF] «Łowcy» [-] ulepszonego pancerza\nObrażenia broni dystansowej zwiększone o [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. Podczas ulepszania broni białej: obrażenia zwiększone o [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], prędkość ataku zwiększona o [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], zużycie wytrzymałości zmniejszone o [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-]."
armorCommandoHelmetImp,items,Clothes,,Commando Helmet [8692FF]Improved[-],Hełm komandosa [8692FF] «Ulepszony»[-]
armorCommandoHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces Helmet. Health regeneration rate has been increased. You are now better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Średni pancerz\nUlepszona wersja hełmu sił specjalnych. Zwiększono tempo regeneracji zdrowia. Jesteś teraz lepiej wyszkolony w walce.\n\n[DECEA3]Premia za pełny zestaw:[-]\n[FF6666]Wzmocnienie broni białej[-] dostępne (zainstalowane w rękawiczkach). Zwiększa obrażenia zadawane przez broń automatyczną.\n\n[DECEA3]Naprawa wymaga zestawu naprawczego (ulepszonego).[-]
armorCommandoOutfitImp,items,Clothes,,Commando Outfit [8692FF]Improved[-],Strój komandosa [8692FF] «Ulepszony»[-]
armorCommandoOutfitImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces uniform. True Special Forces can take any hit without flinching. Faster recovery from critical injuries.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Średni pancerz\nUlepszona wersja munduru Sił Specjalnych. Prawdziwe siły specjalne mogą przyjąć każde trafienie bez mrugnięcia okiem. Szybszy powrót do zdrowia po krytycznych kontuzjach.\n\n[DECEA3]Premia za pełny zestaw:[-]\n[FF6666]Dostępne wzmocnienie broni białej[-] (zainstalowane w rękawiczkach). Zwiększa obrażenia zadawane przez broń automatyczną.\n\n[DECEA3]Naprawa wymaga zestawu naprawczego (ulepszonego).[-]
armorCommandoGlovesImp,items,Clothes,,Commando Gloves [8692FF]Improved[-],Rękawice komandosów [8692FF] «Ulepszone»[-]
armorCommandoGlovesImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Commando Gloves. A good marksman can easily disassemble and reassemble his weapon, and the reloading process has been perfected. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Średni pancerz\nUlepszona wersja rękawic komandosów. Dobry strzelec wyborowy może z łatwością rozłożyć i ponownie złożyć swoją broń, a proces przeładowania został udoskonalony. Możesz zainstalować wzmocnienie, aby zwiększyć prędkość ataku broni białej.\n\n[DECEA3]Premia za pełen zestaw:[-]\n[FF6666]Wzmocnienie broni białej[-] dostępne (zainstalowane w rękawiczkach). Zwiększa obrażenia zadawane przez broń automatyczną.\n\n[DECEA3]Naprawa wymaga zestawu naprawczego (ulepszonego).[-]"
armorCommandoBootsImp,items,Clothes,,Commando Boots [8692FF]Improved[-],Buty komandosów [8692FF] «Ulepszone»[-]
armorCommandoBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Special Forces boots. These boots are suitable for the most difficult obstacle course. Increases the safe fall height. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by automatic weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],Średni pancerz\nUlepszona wersja butów Sił Specjalnych. Te buty nadają się do pokonania najtrudniejszego toru przeszkód. Zwiększa bezpieczną wysokość upadku. Dużo łatwiej jest ci utrzymać równowagę podczas ataków wręcz.\n\n[DECEA3]Premia za pełny zestaw:[-]\n[FF6666]Dostępne wzmocnienie broni białej[-] (zainstalowane w rękawiczkach). Zwiększa obrażenia zadawane przez broń automatyczną.\n\n[DECEA3]Naprawa wymaga zestawu naprawczego (ulepszonego).[-]
buffCommandoImpSetBonus,buffs,Buff,,[8692FF]Commando[-],[8692FF]Komando[-]
buffCommandoImpSetBonusName,buffs,buff,,Armor Bonus,Premia za zbroję
buffCommandoImpSetBonusTooltip,buffs,buff,,You are affected by the improved Commando armor bonus.,Masz wpływ na ulepszony bonus pancerza Commando.
buffCommandoImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Commando»[-] improved Armor\nAutomatic weapon damage increased by [DECEA3]{cvar(.armorCommandoImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-].","Wyposażyłeś pełny zestaw [8692FF] «Commando» [-] ulepszonego pancerza\n Automatyczne obrażenia broni zwiększone o [DECEA3] {cvar(.armorCommandoImpFSBDisplay:0)}%[-]. Podczas ulepszania broni białej: obrażenia zwiększone o [DECEA3]{cvar(.armorEnhancedDamageCommandoImpFSBDisplay:0)}%[-], prędkość ataku zwiększona o [DECEA3]{cvar(.armorEnhancedSpeedCommandoImpFSBDisplay:0)}%[-], zużycie wytrzymałości zmniejszone o [DECEA3]{cvar(.armorEnhancedStaminaCommandoImpFSBDisplay:0)}%[-]."
armorAssassinHelmetImp,items,Clothes,,Assassin Helmet [8692FF]Improved[-],Hełm zabójcy [8692FF] «Ulepszony»[-]
armorAssassinHelmetImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Assassin Hood. They won't even notice. Increases damage while stealthed. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by sniper rifles.\n\n[DECEA3]Repair requires repair kit (improved).[-],Średni pancerz\nUlepszona wersja kaptura zabójcy. Nawet nie zauważą. Zwiększa obrażenia w ukryciu. Teraz jesteś lepiej wyszkolony w walce.\n\n[DECEA3]Premia za pełny zestaw:[-]\n[FF6666]Wzmocnienie broni białej[-] dostępne (zainstalowane w rękawiczkach). Zwiększa obrażenia zadawane przez karabiny snajperskie.\n\n[DECEA3]Naprawa wymaga zestawu naprawczego (ulepszonego).[-]
