Key,Source,Context,Changes,English,Russian,Schinese
modEnhancedKnifeDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGives a bonus to knife and machete proficiency when wearing a full set of improved armor.,«Усиление» для улучшенной брони. Устанавливается в перчатки.\n\nДаёт бонус к владению ножами и мачете при ношении полного комплекта улучшенной брони.,改良型护甲专用强化改装件，安装于手套。\n\n穿戴全套改良型护甲时，提高刀具与砍刀熟练度。
modEnhancedStunBaton,item_modifiers,mod,,[FF6666]«Boost»[-] Stun Batons,[FF6666]«Усиление»[-] Оглушающие жезлы,[FF6666]«强化»[-] 电击棒
modEnhancedStunBatonDesc,item_modifiers,mod,,Enhancement for improved armor. Installed in gloves.\n\nGrants a bonus to stun baton proficiency when wearing a full set of improved armor.,«Усиление» для улучшенной брони. Устанавливается в перчатки.\n\nДаёт бонус к владению оглушающими жезлами при ношении полного комплекта улучшенной брони.,改良型护甲专用强化改装件，安装于手套。\n\n穿戴全套改良型护甲时，提高电击棒熟练度。
armorRogueHelmetImp,items,Clothes,,Rogue Hood [8692FF]Improved[-],[8692FF]Улучшенная[-] Капюшон разбойника,盗贼兜帽 [8692FF]改良型[-]
armorRogueHelmetImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Hood. A true rogue always recognizes loot. You find more banknotes and dukes in loot. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt with bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Легкая броня\nУлучшенная версия капюшона разбойника. Настоящий разбойник всегда распознаёт добычу. Вы находите больше банкнот и дюков в луте. Теперь вы лучше обучаетесь в бою.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляется в перчатки). Увеличивает урон, наносимый луками и арбалетами.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]",轻甲\n改良型盗贼兜帽。真正的盗贼总能辨认出值钱的战利品。从战利品中获得的纸币与公爵币更多，同时提高战斗能力。\n\n[DECEA3]全套奖励：[-]\n可安装[FF6666]近战武器强化[-]（安装于手套）。提高弓弩伤害。\n\n[DECEA3]修理需要改良型修理包。[-]
armorRogueOutfitImp,items,Clothes,,Rogue Outfit [8692FF]Improved[-],[8692FF]Улучшенная[-] Одежда разбойника,盗贼服装 [8692FF]改良型[-]
armorRogueOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's outfit. Heals wounds like a dog. Increases the speed of critical wound healing. You can now carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Легкая броня\nУлучшенная версия одежды разбойника. Раны заживают, как у собаки. Увеличивает скорость лечения критических ранений, а также вашу грузоподъёмность.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляется в перчатки). Увеличивает урон, наносимый луками и арбалетами.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]",轻甲\n改良型盗贼服装。像野兽般快速愈合伤口，提高重伤恢复速度与负重能力。\n\n[DECEA3]全套奖励：[-]\n可安装[FF6666]近战武器强化[-]（安装于手套）。提高弓弩伤害。\n\n[DECEA3]修理需要改良型修理包。[-]
armorRogueGlovesImp,items,Clothes,,Rogue Gloves [8692FF]Improved[-],[8692FF]Улучшенная[-] Перчатки разбойника,盗贼手套 [8692FF]改良型[-]
armorRogueGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue Gloves. Arrows and bolts do not slip out of your hands at an inopportune moment. Increased reload speed of bows and crossbows. You can install a boost to increase the attack speed of melee weapons.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Легкая броня\nУлучшенная версия перчаток разбойника. Стрелы и болты не выскальзывают из рук в ненужный момент. Увеличена скорость перезарядки луков и арбалетов.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляется в перчатки). Увеличивает урон, наносимый луками и арбалетами.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]",轻甲\n改良型盗贼手套。箭矢与弩矢不会在关键时刻脱手，可提高弓弩的装填速度，还能安装强化件来提高近战武器攻击速度。\n\n[DECEA3]全套奖励：[-]\n可安装[FF6666]近战武器强化[-]（安装于手套）。提高弓弩伤害。\n\n[DECEA3]修理需要改良型修理包。[-]
armorRogueBootsImp,items,Clothes,,Rogue Shoes [8692FF]Improved[-],[8692FF]Улучшенная[-] Обувь разбойника,盗贼鞋 [8692FF]改良型[-]
armorRogueBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Rogue's Boots. Almost ninja-like. Less noise and faster movement in stealth. Much easier to maintain balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by bows and crossbows.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Легкая броня\nУлучшенная версия обуви разбойника. Почти как ниндзя. Меньше шума и быстрее передвижение в стелсе. Вам намного проще удержать равновесие при атаках в ближнем бою.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляется в перчатки). Увеличивает урон, наносимый луками и арбалетами.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]",轻甲\n改良型盗贼鞋。近乎忍者般轻盈：潜行时噪声更低、移动更快，近战攻击时也更容易保持平衡。\n\n[DECEA3]全套奖励：[-]\n可安装[FF6666]近战武器强化[-]（安装于手套）。提高弓弩伤害。\n\n[DECEA3]修理需要改良型修理包。[-]
buffRogueImpSetBonus,buffs,Buff,,[8692FF]Rogue[-],[8692FF]Разбойник[-],[8692FF]盗贼[-]
buffRogueImpSetBonusName,buffs,buff,,Armor Bonus,Бонус брони,护甲加成
buffRogueImpSetBonusTooltip,buffs,buff,,You are affected by the improved Rogue armor bonus.,На вас действует бонус улучшенной брони [8692FF]«Разбойник»[-].,已获得改良型盗贼护甲的全套奖励。
buffRogueImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Rogue»[-] improved armor.\nBow and crossbow damage increased by [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-].","Вы надели полный комплект улучшенной брони [8692FF]«Разбойник»[-].\nУрон луков и арбалетов увеличен на [DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]. При усилении оружия ближнего боя: урон увеличен на [DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-], скорость атаки увеличена на [DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-], расход выносливости снижен на [DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-].",你已装备全套[8692FF]盗贼[-]改良型护甲。\n弓弩伤害提高[DECEA3]{cvar(.armorRogueImpFSBDisplay:0)}%[-]。强化近战武器时：伤害提高[DECEA3]{cvar(.armorEnhancedDamageRogueImpFSBDisplay:0)}%[-]，攻击速度提高[DECEA3]{cvar(.armorEnhancedSpeedRogueImpFSBDisplay:0)}%[-]，耐力消耗降低[DECEA3]{cvar(.armorEnhancedStaminaRogueImpFSBDisplay:0)}%[-]。
armorEnforcerHelmetImp,items,Clothes,,Enforcer Sunglasses [8692FF]Improved[-],[8692FF]Улучшенная[-] Очки блюстителя закона,执法者太阳镜 [8692FF]改良型[-]
armorEnforcerHelmetImpDesc,items,Clothes,,"Light Armor\nAn improved version of the Enforcer Sunglasses. With these glasses, you can always negotiate a good price for your product. This increases the selling price. You are now better trained in combat.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-]",Легкая броня\nУлучшенная версия очков блюстителя закона. С такими очками вы всегда можете договориться о хорошей цене за ваш товар. Увеличивает цену продажи. Теперь вы лучше обучаетесь в бою.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон от способности [DECEA3]«Меткий Стрелок»[-].\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-],轻甲\n改良型执法者太阳镜。戴上它，总能为商品谈到好价钱，提高售价与战斗能力。\n\n[DECEA3]全套奖励：[-]\n可安装[FF6666]近战武器强化[-]（安装于手套）。提高枪手类技能的伤害。\n\n[DECEA3]修理需要改良型修理包。[-]
armorEnforcerOutfitImp,items,Clothes,,Enforcer Outfit [8692FF]Improved[-],[8692FF]Улучшенная[-] Одежда блюстителя закона,执法者服装 [8692FF]改良型[-]
armorEnforcerOutfitImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Outfit. Stylish and lightweight materials mean you can withstand any impact. Increases resistance to critical injuries. Now you can carry more.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Легкая броня\nУлучшенная версия одежды блюстителя закона. Благодаря стильным и легким материалам вы сможете выдержать любой удар. Повышает сопротивление критическим травмам, а также вашу грузоподъёмность.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон от способности [DECEA3]«Меткий Стрелок»[-].\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]",轻甲\n改良型执法者服装。时尚又轻便的材料让你能承受猛烈冲击，提高重伤抗性与负重能力。\n\n[DECEA3]全套奖励：[-]\n可安装[FF6666]近战武器强化[-]（安装于手套）。提高枪手类技能的伤害。\n\n[DECEA3]修理需要改良型修理包。[-]
armorEnforcerGlovesImp,items,Clothes,,Enforcer Gloves [8692FF]Improved[-],[8692FF]Улучшенная[-] Перчатки блюстителя закона,执法者手套 [8692FF]改良型[-]
armorEnforcerGlovesImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Gloves. Gloves like these were worn back in the days of the Wild West. Increases reload speed for SMGs and pistols. You can install a boost to increase melee weapon attack speed.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases damage dealt by the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Легкая броня\nУлучшенная версия перчаток блюстителя закона. Такие перчатки носили еще во времена Дикого Запада. Увеличивает скорость перезарядки ПП и пистолетов. Вы можете установить усиление для увеличения скорости атаки оружия ближнего боя.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон от способности [DECEA3]«Меткий Стрелок»[-].\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-],轻甲\n改良型执法者手套。颇有西部风格，可提高冲锋枪与手枪的装填速度，还能安装强化件来提高近战武器攻击速度。\n\n[DECEA3]全套奖励：[-]\n可安装[FF6666]近战武器强化[-]（安装于手套）。提高枪手类技能的伤害。\n\n[DECEA3]修理需要改良型修理包。[-]
armorEnforcerBootsImp,items,Clothes,,Enforcer Shoes [8692FF]Improved[-],[8692FF]Улучшенная[-] Обувь блюстителя закона,执法者鞋 [8692FF]改良型[-]
armorEnforcerBootsImpDesc,items,Clothes,,Light Armor\nAn improved version of the Enforcer Shoes.\nThese shoes will not soon become unusable. Increases stamina. It is much easier for you to maintain your balance during melee attacks.\n\nFull Set Bonus: Available [FF6666]Melee Weapon Boost[-] (installed in gloves). Increases the damage of the Gunslinger ability.\n\n[DECEA3]Repair requires repair kit (improved).[-],Легкая броня\nУлучшенная версия обуви блюстителя закона. Эта обувь еще не скоро придет в негодность. Увеличивает запас выносливости. Вам намного проще удержать равновесие при атаках в ближнем бою.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон от способности [DECEA3]«Меткий Стрелок»[-].\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-],轻甲\n改良型执法者鞋。格外耐穿，提高耐力上限，近战攻击时也更容易保持平衡。\n\n[DECEA3]全套奖励：[-]\n可安装[FF6666]近战武器强化[-]（安装于手套）。提高枪手类技能的伤害。\n\n[DECEA3]修理需要改良型修理包。[-]
buffEnforcerImpSetBonus,buffs,Buff,,[8692FF]Enforcer[-],[8692FF]Законник[-],[8692FF]执法者[-]
buffEnforcerImpSetBonusName,buffs,buff,,Armor Bonus,Бонус брони,护甲加成
buffEnforcerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Enforcer armor bonus.,На вас действует бонус улучшенной брони [8692FF]«Законник»[-].,已获得改良型执法者护甲的全套奖励。
buffEnforcerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Enforcer»[-] improved Armor\nSMG and pistol damage increased by [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-].","Вы надели полный комплект улучшенной брони [8692FF]«Законник»[-]\nУрон ПП и пистолетов увеличен на [DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]. При усилении оружия ближнего боя: урон увеличен на [DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-], скорость атаки увеличена на [DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-], расход выносливости снижен на [DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-].",你已装备全套[8692FF]执法者[-]改良型护甲。\nSMG与手枪伤害提高[DECEA3]{cvar(.armorEnforcerImpFSBDisplay:0)}%[-]。强化近战武器时：伤害提高[DECEA3]{cvar(.armorEnhancedDamageEnforcerImpFSBDisplay:0)}%[-]，攻击速度提高[DECEA3]{cvar(.armorEnhancedSpeedEnforcerImpFSBDisplay:0)}%[-]，耐力消耗降低[DECEA3]{cvar(.armorEnhancedStaminaEnforcerImpFSBDisplay:0)}%[-]。
armorRangerHelmetImp,items,Clothes,,Ranger Helmet [8692FF]Improved[-],[8692FF]Улучшенная[-] Шапка егеря,游骑兵头盔 [8692FF]改良型[-]
armorRangerHelmetImpDesc,items,Clothes,,"Medium Armor\nImproved version of the Ranger Hat. Rangers are fierce negotiators, especially when wearing a well-made hat. Increases the profitability of trade deals. Now you are better trained in combat.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Средняя броня\nУлучшенная версия шапки егеря. Егеря — отчаянные переговорщики, особенно если на них надета добротно сделанная шляпа. Повышает выгодность сделок при торговле. Теперь вы лучше обучаетесь в бою.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон, наносимый оружием дальнего боя.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]",中甲\n改良型游骑兵头盔。做工精良的帽子让游骑兵在谈判中更具气势，提高交易收益与战斗能力。\n\n[DECEA3]全套奖励：[-]\n可安装[FF6666]近战武器强化[-]（安装于手套）。提高远程武器伤害。\n\n[DECEA3]修理需要改良型修理包。[-]
armorRangerOutfitImp,items,Clothes,,Ranger Outfit [8692FF]Improved[-],[8692FF]Улучшенная[-] Одежда егеря,游骑兵服装 [8692FF]改良型[-]
armorRangerOutfitImpDesc,items,Clothes,,"Medium Armor\nAn improved version of the Ranger Outfit. Nature has taught strength not only of the spirit, but also of the body. Increases the number of health units, as well as your load capacity.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-]","Средняя броня\nУлучшенная версия одежды егеря. Природа научила крепости не только духа, но и тела. Увеличивает количество единиц здоровья, а также вашу грузоподъёмность.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон, наносимый оружием дальнего боя.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]",中甲\n改良型游骑兵服装。大自然锻炼的不只是意志，还有身体；提高生命值上限与负重能力。\n\n[DECEA3]全套奖励：[-]\n可安装[FF6666]近战武器强化[-]（安装于手套）。提高远程武器伤害。\n\n[DECEA3]修理需要改良型修理包。[-]
armorRangerGlovesImp,items,Clothes,,Ranger Gloves [8692FF]Improved[-],[8692FF]Улучшенная[-] Перчатки егеря,游骑兵手套 [8692FF]改良型[-]
armorRangerGlovesImpDesc,items,Clothes,,Medium Armor\nImproved version of the Ranger's Gloves. These comfortable gloves allow you to quickly handle any weapon. Increases weapon reload speed. You can install a boost to increase the attack speed of melee weapons.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Средняя броня\nУлучшенная версия перчаток егеря. Эти удобные перчатки позволяют быстро управляться с любым оружием. Увеличивает скорость перезарядки оружия.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон, наносимый оружием дальнего боя.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]",中甲\n改良型游骑兵手套。舒适的设计让你能迅速操作各种武器，提高装填速度，还能安装强化件来提高近战武器攻击速度。\n\n[DECEA3]全套奖励：[-]\n可安装[FF6666]近战武器强化[-]（安装于手套）。提高远程武器伤害。\n\n[DECEA3]修理需要改良型修理包。[-]
armorRangerBootsImp,items,Clothes,,Ranger Boots [8692FF]Improved[-],[8692FF]Улучшенная[-] Обувь егеря,游骑兵靴 [8692FF]改良型[-]
armorRangerBootsImpDesc,items,Clothes,,Medium Armor\nAn improved version of the Ranger's Boots. Stamina is the key to successful survival in the wilderness. Increases your stamina. It is much easier for you to maintain your balance during melee attacks.\n\n[DECEA3]Full Set Bonus:[-]\n[FF6666]Melee Weapon Boost[-] available (installed in gloves). Increases damage dealt by ranged weapons.\n\n[DECEA3]Repair requires repair kit (improved).[-],"Средняя броня\nУлучшенная версия обуви егеря. Запас выносливости — залог успешного выживания в дикой местности. Увеличивает запас выносливости. Вам намного проще удержать равновесие при атаках в ближнем бою.\n\n[DECEA3]Бонус за комплект:[-]\nВозможно установить [FF6666]«Усиление»[-] оружия ближнего боя (вставляются в перчатки). Увеличивает урон, наносимый оружием дальнего боя.\n\n[DECEA3]Для ремонта требуется ремонтный набор (улучшенный).[-]",中甲\n改良型游骑兵靴。耐力是荒野生存的关键；提高耐力上限，近战攻击时也更容易保持平衡。\n\n[DECEA3]全套奖励：[-]\n可安装[FF6666]近战武器强化[-]（安装于手套）。提高远程武器伤害。\n\n[DECEA3]修理需要改良型修理包。[-]
buffRangerImpSetBonus,buffs,Buff,,[8692FF]Ranger[-],[8692FF]Егерь[-],[8692FF]游骑兵[-]
buffRangerImpSetBonusName,buffs,buff,,Armor Bonus,Бонус брони,护甲加成
buffRangerImpSetBonusTooltip,buffs,buff,,You are affected by the improved Ranger armor bonus.,На вас действует бонус улучшенной брони [8692FF]«Егерь»[-].,已获得改良型游骑兵护甲的全套奖励。
buffRangerImpSetBonusDesc,buffs,Buff,,"You have equipped a full set of [8692FF]«Ranger»[-] improved Armor\nRanged weapon damage increased by [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. When enhancing melee weapons: damage increased by [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], attack speed increased by [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], stamina consumption reduced by [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-].","Вы надели полный комплект улучшенной брони [8692FF]«Егерь»[-]\nУрон оружия дальнего боя увеличен на [DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]. При усилении оружия ближнего боя: урон увеличен на [DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-], скорость атаки увеличена на [DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-], расход выносливости снижен на [DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-].",你已装备全套[8692FF]游骑兵[-]改良型护甲。\n远程武器伤害提高[DECEA3]{cvar(.armorRangerImpFSBDisplay:0)}%[-]。强化近战武器时：伤害提高[DECEA3]{cvar(.armorEnhancedDamageRangerImpFSBDisplay:0)}%[-]，攻击速度提高[DECEA3]{cvar(.armorEnhancedSpeedRangerImpFSBDisplay:0)}%[-]，耐力消耗降低[DECEA3]{cvar(.armorEnhancedStaminaRangerImpFSBDisplay:0)}%[-]。
armorCommandoHelmetImp,items,Clothes,,Commando Helmet [8692FF]Improved[-],[8692FF]Улучшенная[-] Спецназовский шлем,突击队头盔 [8692FF]改良型[-]
